omega_tilde_over_omega,normalized_amplitude
0.000000000000000000e+00,1.403567692122953663e-03
2.499479275151010593e-02,7.023964323449702514e-04
4.998958550302021187e-02,1.456864675748064296e-07
7.498437825453031780e-02,1.581550511144970719e-07
9.997917100604042373e-02,1.199703442682309412e-07
1.249739637575505297e-01,4.083979602416874999e-08
1.499687565090606356e-01,1.256498062331093975e-07
1.749635492605707277e-01,3.532749675234607015e-07
1.999583420120808475e-01,6.290211477315761978e-07
2.249531347635909395e-01,1.087525252628530085e-06
2.499479275151010593e-01,1.774952488073810419e-06
2.749427202666111514e-01,2.837968469973909218e-06
2.999375130181212712e-01,4.634500826962345134e-06
3.249323057696313910e-01,7.714838259061994552e-06
3.499270985211414553e-01,1.355045055588064534e-05
3.749218912726515751e-01,2.566645124293726374e-05
3.999166840241616949e-01,5.507696102177959014e-05
4.249114767756718147e-01,1.466730226519282897e-04
4.499062695271818790e-01,6.202826720863014289e-04
4.749010622786919988e-01,4.970378195375104724e-01
4.998958550302021187e-01,1.000000000000000000e+00
5.248906477817121274e-01,5.032867415283652779e-01
5.498854405332223028e-01,7.704575366851163778e-04
5.748802332847323671e-01,2.009125753015205914e-04
5.998750260362425424e-01,8.392109054663994061e-05
6.248698187877526067e-01,4.379890290944988071e-05
6.498646115392627820e-01,2.612944346243457658e-05
6.748594042907728463e-01,1.703586413778300959e-05
6.998541970422829106e-01,1.185641103483058494e-05
7.248489897937929749e-01,8.672715643101669455e-06
7.498437825453031502e-01,6.576670049663781763e-06
7.748385752968132145e-01,5.173713976557866905e-06
7.998333680483233898e-01,4.167427469623924170e-06
8.248281607998333431e-01,3.446667115056636648e-06
8.498229535513436295e-01,2.965708781525196662e-06
8.748177463028535827e-01,2.647100125633698339e-06
8.998125390543637581e-01,2.690536699402076104e-06
9.248073318058738224e-01,3.885261553556337665e-06
9.498021245573839977e-01,1.229182304231553601e-05
9.747969173088940620e-01,4.433721166393725030e-03
9.997917100604042373e-01,8.975114497752305701e-03
1.024786502811914302e+00,4.545725461010844543e-03
1.049781295563424255e+00,1.313293341709174517e-05
1.074776088314934430e+00,3.386972896927904553e-06
1.099770881066444606e+00,1.593651078865884803e-06
1.124765673817954781e+00,1.095936807095017790e-06
1.149760466569464734e+00,9.790606580044453197e-07
1.174755259320974909e+00,9.103494543512744368e-07
1.199750052072485085e+00,9.512382498758326374e-07
1.224744844823995038e+00,1.014636415607869016e-06
1.249739637575505213e+00,1.140469102705285444e-06
1.274734430327015389e+00,1.400160991284892127e-06
1.299729223078525564e+00,1.791224694219182800e-06
1.324724015830035517e+00,2.530478127966836143e-06
1.349718808581545693e+00,3.843160528793020059e-06
1.374713601333055646e+00,6.585170631789262704e-06
1.399708394084565821e+00,1.301821115227349841e-05
1.424703186836075997e+00,3.247553270083959918e-05
1.449697979587585950e+00,1.300200366376278057e-04
1.474692772339096125e+00,3.233063847256716083e-02
1.499687565090606300e+00,6.586688721067916752e-02
1.524682357842116476e+00,3.356545730944854311e-02
1.549677150593626429e+00,1.448514014344365135e-04
1.574671943345136382e+00,3.624854842013768117e-05
1.599666736096646780e+00,1.448473639637461291e-05
1.624661528848156955e+00,7.213316670818078554e-06
1.649656321599666686e+00,4.045619921318991354e-06
1.674651114351176862e+00,2.469548082611548430e-06
1.699645907102687259e+00,1.571301520050991069e-06
1.724640699854197434e+00,1.016301395923982919e-06
1.749635492605707165e+00,6.775617544564774342e-07
1.774630285357217341e+00,4.142488713805190441e-07
1.799625078108727516e+00,2.273125077678798131e-07
1.824619870860237469e+00,8.298214183530024736e-08
1.849614663611747645e+00,1.507064627925943330e-07
