omega_tilde_over_omega,normalized_amplitude
0.000000000000000000e+00,1.351426963458105153e-03
2.499479275151010593e-02,6.762796203653977318e-04
4.998958550302021187e-02,1.149735923271308310e-07
7.498437825453031780e-02,1.318916515454959202e-07
9.997917100604042373e-02,7.736988647285223257e-08
1.249739637575505297e-01,3.799413726704584739e-08
1.499687565090606356e-01,1.724383076867856168e-07
1.749635492605707277e-01,3.539794961280863854e-07
1.999583420120808475e-01,6.694578803838904722e-07
2.249531347635909395e-01,1.114507752616915738e-06
2.499479275151010593e-01,1.795696197057713531e-06
2.749427202666111514e-01,2.873096599450493748e-06
2.999375130181212712e-01,4.661548072050453587e-06
3.249323057696313910e-01,7.738392326503935268e-06
3.499270985211414553e-01,1.356862475582844915e-05
3.749218912726515751e-01,2.570302689038119208e-05
3.999166840241616949e-01,5.510144287270424133e-05
4.249114767756718147e-01,1.466850939614997365e-04
4.499062695271818790e-01,6.203054457786028649e-04
4.749010622786919988e-01,4.970378634002472484e-01
4.998958550302021187e-01,1.000000000000000000e+00
5.248906477817121274e-01,5.032867757977487200e-01
5.498854405332223028e-01,7.704356929838943133e-04
5.748802332847323671e-01,2.009001617512252112e-04
5.998750260362425424e-01,8.389844160074449932e-05
6.248698187877526067e-01,4.378212019161261884e-05
6.498646115392627820e-01,2.610605829117866743e-05
6.748594042907728463e-01,1.703300272239880825e-05
6.998541970422829106e-01,1.182879441858183372e-05
7.248489897937929749e-01,8.653056486154210944e-06
7.498437825453031502e-01,6.565555444983226554e-06
7.748385752968132145e-01,5.152600909605401795e-06
7.998333680483233898e-01,4.156425368716457143e-06
8.248281607998333431e-01,3.437168715463567166e-06
8.498229535513436295e-01,2.936843888696457542e-06
8.748177463028535827e-01,2.638676057051075350e-06
8.998125390543637581e-01,2.656413128990798439e-06
9.248073318058738224e-01,3.863841918371916051e-06
9.498021245573839977e-01,1.223864172300517777e-05
9.747969173088940620e-01,4.418086313511197794e-03
9.997917100604042373e-01,8.943498333255955196e-03
1.024786502811914302e+00,4.529713524522105753e-03
1.049781295563424255e+00,1.308910793317433849e-05
1.074776088314934430e+00,3.364670498835856849e-06
1.099770881066444606e+00,1.565420081485483896e-06
1.124765673817954781e+00,1.097761170727311259e-06
1.149760466569464734e+00,9.346799009763118376e-07
1.174755259320974909e+00,9.128493045372726689e-07
1.199750052072485085e+00,9.148459797736869234e-07
1.224744844823995038e+00,9.798335601938277170e-07
1.249739637575505213e+00,1.117963765382349917e-06
1.274734430327015389e+00,1.343448928075011919e-06
1.299729223078525564e+00,1.726049149258277456e-06
1.324724015830035517e+00,2.446995105984035404e-06
1.349718808581545693e+00,3.719218573293522578e-06
1.374713601333055646e+00,6.348653078646456528e-06
1.399708394084565821e+00,1.258239574351020471e-05
1.424703186836075997e+00,3.139047126395169999e-05
1.449697979587585950e+00,1.256831617817611064e-04
1.474692772339096125e+00,3.125353312441947473e-02
1.499687565090606300e+00,6.367254816367261261e-02
1.524682357842116476e+00,3.244721909941898630e-02
1.549677150593626429e+00,1.400353458819327110e-04
1.574671943345136382e+00,3.503781289373244660e-05
1.599666736096646780e+00,1.401471346949880107e-05
1.624661528848156955e+00,6.978111880936612662e-06
1.649656321599666686e+00,3.923206044804598594e-06
1.674651114351176862e+00,2.380216005370817077e-06
1.699645907102687259e+00,1.537355628100192000e-06
1.724640699854197434e+00,9.894789235732825935e-07
1.749635492605707165e+00,6.611035160813048460e-07
1.774630285357217341e+00,4.054568473895219476e-07
1.799625078108727516e+00,2.340967115783764557e-07
1.824619870860237469e+00,7.625523196903608666e-08
1.849614663611747645e+00,1.562753202310850513e-07
1.874609456363257820e+00,4.183249105086050888e-07
1.899604249114767995e+00,9.555840659972727823e-07
1.924599041866277949e+00,2.542782384056303208e-06
1.949593834617788124e+00,1.026421220582566912e-05
1.974588627369298299e+00,1.908723286669496057e-03
1.999583420120808475e+00,3.913228622625686617e-03
2.024578212872318428e+00,2.006559665105630934e-03
2.049573005623828603e+00,1.147883687774516532e-05
2.074567798375338779e+00,2.867155125203133328e-06
2.099562591126848510e+00,1.177914327603863093e-06
2.124557383878358685e+00,6.829329468812807467e-07
2.149552176629868860e+00,5.597279913216754937e-07
2.174546969381379480e+00,5.940993836771699572e-07
2.199541762132889211e+00,6.992800515569593927e-07
2.224536554884399386e+00,8.740992025823419166e-07
2.249531347635909562e+00,1.130634247947771695e-06
2.274526140387419293e+00,1.517345842610954405e-06
2.299520933138929468e+00,2.116292274740315369e-06
2.324515725890439644e+00,3.156776985179892695e-06
2.349510518641949819e+00,4.991998373524604503e-06
2.374505311393459994e+00,8.693071623955182873e-06
2.399500104144970170e+00,1.738212368135724019e-05
2.424494896896480345e+00,4.338958928480485928e-05
2.449489689647990076e+00,1.722213835137746825e-04
2.474484482399500251e+00,2.545397710504786540e-02
2.499479275151010427e+00,5.251498070228487886e-02
2.524474067902520602e+00,2.709495358894337125e-02
2.549468860654030777e+00,1.931521284783754638e-04
2.574463653405540953e+00,4.788042900485841414e-05
2.599458446157051128e+00,1.911759321564416198e-05
2.624453238908560859e+00,9.544930532304605843e-06
2.649448031660071035e+00,5.421936224508309373e-06
2.674442824411581210e+00,3.350781178778434161e-06
2.699437617163091385e+00,2.208752414964589577e-06
2.724432409914601116e+00,1.489967656564073665e-06
2.749427202666111292e+00,1.052038318213167199e-06
2.774421995417621467e+00,7.198362090702080513e-07
2.799416788169131642e+00,4.931368402046672004e-07
2.824411580920641818e+00,2.987645873037629816e-07
2.849406373672151993e+00,2.173553663223102844e-07
2.874401166423662168e+00,4.563561554219912519e-07
2.899395959175171900e+00,1.201684763093825380e-06
2.924390751926682075e+00,3.435077641763894167e-06
2.949385544678192250e+00,1.428784097719224822e-05
2.974380337429702426e+00,1.786507563374187691e-03
2.999375130181212601e+00,3.709904785224643533e-03
3.024369922932722776e+00,1.925612386086208300e-03
3.049364715684232952e+00,1.670024788701848434e-05
3.074359508435742683e+00,4.334068812407966308e-06
3.099354301187252858e+00,1.921583376844904985e-06
3.124349093938763033e+00,1.180993533298934597e-06
3.149343886690272765e+00,9.267808793227222563e-07
3.174338679441783384e+00,8.840623226169564009e-07
3.199333472193293559e+00,9.607304352516578732e-07
3.224328264944803291e+00,1.133919106517177689e-06
3.249323057696313910e+00,1.429217106895923920e-06
3.274317850447823641e+00,1.887168140821441706e-06
3.299312643199333372e+00,2.617006184710489629e-06
3.324307435950843992e+00,3.881164671788574608e-06
3.349302228702353723e+00,6.128686602734206225e-06
3.374297021453864343e+00,1.064211717993558250e-05
3.399291814205374518e+00,2.121657937915809205e-05
3.424286606956884249e+00,5.272503537526427610e-05
3.449281399708394868e+00,2.075112688500376770e-04
3.474276192459904600e+00,2.184387725057188034e-02
3.499270985211414331e+00,4.564082810383157662e-02
3.524265777962924950e+00,2.384073386601371844e-02
3.549260570714434682e+00,2.373204071702751281e-04
3.574255363465944857e+00,5.832614076846147301e-05
3.599250156217455032e+00,2.320351638289889866e-05
3.624244948968965208e+00,1.155757673910048574e-05
3.649239741720474939e+00,6.574863619873437286e-06
3.674234534471985558e+00,4.070390834500196271e-06
3.699229327223495289e+00,2.698724457117347716e-06
3.724224119975005909e+00,1.839953824593120378e-06
3.749218912726515640e+00,1.319281200885657865e-06
3.774213705478025815e+00,9.388703667528176775e-07
3.799208498229535991e+00,6.879077697654395643e-07
3.824203290981046166e+00,5.010607297647114154e-07
3.849198083732555897e+00,4.603859440623497372e-07
3.874192876484066517e+00,7.193833967905116671e-07
3.899187669235576248e+00,1.625609947532438481e-06
3.924182461987085979e+00,4.432125665661539211e-06
3.949177254738596599e+00,1.813682765384832973e-05
3.974172047490106330e+00,1.695978238966504683e-03
3.999166840241616949e+00,3.567081321985487476e-03
4.024161632993126680e+00,1.874301674436956678e-03
4.049156425744636856e+00,2.167142836958420586e-05
4.074151218496147031e+00,5.604241334722099687e-06
4.099146011247657206e+00,2.499818440200732574e-06
4.124140803999167382e+00,1.540144147493371950e-06
4.149135596750677557e+00,1.191286359712971662e-06
4.174130389502187732e+00,1.117609125275850112e-06
4.199125182253697020e+00,1.185158662425727517e-06
4.224119975005208083e+00,1.386095374186742500e-06
4.249114767756717370e+00,1.738676208079054496e-06
4.274109560508227545e+00,2.289119197503277224e-06
4.299104353259737721e+00,3.176862227534024957e-06
4.324099146011247896e+00,4.711339071901139782e-06
4.349093938762758960e+00,7.446108728339013140e-06
4.374088731514268247e+00,1.293151831365663140e-05
4.399083524265778422e+00,2.573653740762353806e-05
4.424078317017288597e+00,6.376848284736710024e-05
4.449073109768798773e+00,2.492175233009819566e-04
4.474067902520308060e+00,2.039855352219070717e-02
4.499062695271819123e+00,4.316628487625862737e-02
4.524057488023329299e+00,2.282707723406042846e-02
4.549052280774838586e+00,2.921162925432504000e-04
4.574047073526349649e+00,7.125606437754831936e-05
4.599041866277858936e+00,2.827038822629703905e-05
4.624036659029369112e+00,1.407150159206994685e-05
4.649031451780879287e+00,8.005389613843907348e-06
4.674026244532389462e+00,4.978910330163046092e-06
4.699021037283899638e+00,3.313908019199965123e-06
4.724015830035409813e+00,2.280968184845818355e-06
4.749010622786919988e+00,1.654520901793667232e-06
4.774005415538430164e+00,1.215704902935669288e-06
4.799000208289940339e+00,9.363414912604377374e-07
4.823995001041449626e+00,7.592999081012818075e-07
4.848989793792960690e+00,7.727278286974453082e-07
4.873984586544469977e+00,1.135010856461147956e-06
4.898979379295980152e+00,2.314887279875257542e-06
4.923974172047490327e+00,5.968046212664223542e-06
4.948968964799000503e+00,2.384397494565016382e-05
4.973963757550511566e+00,1.774697268316655779e-03
4.998958550302020853e+00,3.780381994472636377e-03
5.023953343053531029e+00,2.010958844118523100e-03
5.048948135805041204e+00,2.894994224956579329e-05
5.073942928556551379e+00,7.343825205314559820e-06
5.098937721308061555e+00,3.187955613825918151e-06
5.123932514059571730e+00,1.891051697906150339e-06
5.148927306811081905e+00,1.394979392526651609e-06
5.173922099562591193e+00,1.251835136327622606e-06
5.198916892314102256e+00,1.290987549124471966e-06
5.223911685065611543e+00,1.482418017135404585e-06
5.248906477817121718e+00,1.843924368671008410e-06
5.273901270568631894e+00,2.424679745107584148e-06
5.298896063320142069e+00,3.368991637353251176e-06
5.323890856071652244e+00,4.994967200521974796e-06
5.348885648823162420e+00,7.913404280896969538e-06
5.373880441574672595e+00,1.374687075624480676e-05
5.398875234326182770e+00,2.733090612996162637e-05
5.423870027077692946e+00,6.756555392781712942e-05
5.448864819829202233e+00,2.623622255471328704e-04
5.473859612580713296e+00,1.758559352706756326e-02
5.498854405332222584e+00,3.769205164263774582e-02
5.523849198083732759e+00,2.017781722644577946e-02
5.548843990835242934e+00,3.159107217861060113e-04
5.573838783586753109e+00,7.651893830695570813e-05
5.598833576338263285e+00,3.028746717848080668e-05
5.623828369089773460e+00,1.507236865408234759e-05
5.648823161841283635e+00,8.579750781062518307e-06
5.673817954592793811e+00,5.359199340183382647e-06
5.698812747344303986e+00,3.577662269151876708e-06
5.723807540095814161e+00,2.489654070206192492e-06
5.748802332847324337e+00,1.827280277522731971e-06
5.773797125598834512e+00,1.374305610654822470e-06
5.798791918350343799e+00,1.107375130588193413e-06
5.823786711101854863e+00,9.682649408535436553e-07
5.848781503853364150e+00,1.081504976614531497e-06
5.873776296604874325e+00,1.604009254730297958e-06
5.898771089356384500e+00,3.151857266952365349e-06
5.923765882107894676e+00,7.853377334959071054e-06
5.948760674859404851e+00,3.078431494308235772e-05
5.973755467610915026e+00,1.902635597692881042e-03
5.998750260362425202e+00,4.104861111032796252e-03
6.023745053113935377e+00,2.210554855494354168e-03
6.048739845865445552e+00,3.806670279901926216e-05
6.073734638616954840e+00,9.460491087090823801e-06
6.098729431368465903e+00,3.981440026953574277e-06
6.123724224119975190e+00,2.261497948819949111e-06
6.148719016871485366e+00,1.575133498872329725e-06
6.173713809622996429e+00,1.329180372959233546e-06
6.198708602374505716e+00,1.308089635888284307e-06
6.223703395126015891e+00,1.453237959424141441e-06
6.248698187877526067e+00,1.769019991879499417e-06
6.273692980629036242e+00,2.307483407719305869e-06
6.298687773380545529e+00,3.194093947485300970e-06
6.323682566132055705e+00,4.722302788043925470e-06
6.348677358883566768e+00,7.484338641655052456e-06
6.373672151635076943e+00,1.299482654346858785e-05
6.398666944386587119e+00,2.579807252573696497e-05
6.423661737138096406e+00,6.362673510349168584e-05
6.448656529889606581e+00,2.455358717583461334e-04
6.473651322641117645e+00,1.394585100239595539e-02
6.498646115392627820e+00,3.027688645636047310e-02
6.523640908144137107e+00,1.640720831275406869e-02
6.548635700895647282e+00,3.040569563960879534e-04
6.573630493647157458e+00,7.313809584372110597e-05
6.598625286398666745e+00,2.887996625486956596e-05
6.623620079150177808e+00,1.436427812549845687e-05
6.648614871901687984e+00,8.180889390533718577e-06
6.673609664653198159e+00,5.122959386566897730e-06
6.698604457404707446e+00,3.432777846117911942e-06
6.723599250156217622e+00,2.406456413010026251e-06
6.748594042907728685e+00,1.788712878888548406e-06
6.773588835659238860e+00,1.375494697142470659e-06
6.798583628410749036e+00,1.162443616714164937e-06
6.823578421162258323e+00,1.102074137719966457e-06
6.848573213913768498e+00,1.333750839605601149e-06
6.873568006665277785e+00,2.052419114015693952e-06
6.898562799416789737e+00,3.984559920447924807e-06
6.923557592168299024e+00,9.775991496305090831e-06
6.948552384919809199e+00,3.777533613372127008e-05
6.973547177671319375e+00,1.998629376169718669e-03
6.998541970422828662e+00,4.367524367727566512e-03
7.023536763174338837e+00,2.380963143017445372e-03
7.048531555925849901e+00,4.776975363549489431e-05
7.073526348677360076e+00,1.167088384856605708e-05
7.098521141428869363e+00,4.795652030501245660e-06
7.123515934180379539e+00,2.631133040024731343e-06
7.148510726931889714e+00,1.743602067051951392e-06
7.173505519683400777e+00,1.400401430494895588e-06
7.198500312434910064e+00,1.308562023074867170e-06
7.223495105186420240e+00,1.411204576522112604e-06
7.248489897937930415e+00,1.670646480481279870e-06
7.273484690689439702e+00,2.166900381315546838e-06
7.298479483440949878e+00,2.978909873613325652e-06
7.323474276192460941e+00,4.388314643904088927e-06
7.348469068943971116e+00,6.948707805821319887e-06
7.373463861695480404e+00,1.205819311437532308e-05
7.398458654446990579e+00,2.389724416686299613e-05
7.423453447198500754e+00,5.879862914121496376e-05
7.448448239950011818e+00,2.255375971962540564e-04
7.473443032701521993e+00,1.112149687090220780e-02
7.498437825453031280e+00,2.445847524081173549e-02
7.523432618204541455e+00,1.341630451646206972e-02
7.548427410956051631e+00,2.874284322358389176e-04
7.573422203707560918e+00,6.865398630335052370e-05
7.598416996459071981e+00,2.704060647279649102e-05
7.623411789210582157e+00,1.343889890258156671e-05
7.648406581962092332e+00,7.652090918653714889e-06
7.673401374713601619e+00,4.796617089030750262e-06
7.698396167465111795e+00,3.225606339242960281e-06
7.723390960216622858e+00,2.268964315617249471e-06
7.748385752968133033e+00,1.704265166654146804e-06
7.773380545719642321e+00,1.345663579357634893e-06
7.798375338471152496e+00,1.189930647415886751e-06
7.823370131222662671e+00,1.221605761523483428e-06
7.848364923974171958e+00,1.585463028596921942e-06
7.873359716725683910e+00,2.523668522136209281e-06
7.898354509477193197e+00,4.897963143377227154e-06
7.923349302228703372e+00,1.193143199247633303e-05
7.948344094980212660e+00,4.566934374015290451e-05
7.973338887731722835e+00,2.114592373659338054e-03
7.998333680483233898e+00,4.680838041046210367e-03
8.023328473234743186e+00,2.583044972089673999e-03
8.048323265986253361e+00,5.922926522184224858e-05
8.073318058737763536e+00,1.426188118956947977e-05
8.098312851489273712e+00,5.757318990264084103e-06
8.123307644240783887e+00,3.060408622844126457e-06
8.148302436992294062e+00,1.947546877984290076e-06
8.173297229743804238e+00,1.483593459377175896e-06
8.198292022495314413e+00,1.324748981174079786e-06
8.223286815246824588e+00,1.375965323617986484e-06
8.248281607998334763e+00,1.590544310990635172e-06
8.273276400749843162e+00,2.041470287137409666e-06
8.298271193501355114e+00,2.790630205157088822e-06
8.323265986252865289e+00,4.093326064914205144e-06
8.348260779004375465e+00,6.473019681476574866e-06
8.373255571755885640e+00,1.121456942227592055e-05
8.398250364507394039e+00,2.218988777897378239e-05
8.423245157258905991e+00,5.444934069375371945e-05
8.448239950010416166e+00,2.076052789115889763e-04
8.473234742761926341e+00,9.050256317234703363e-03
8.498229535513434740e+00,2.016292463546083893e-02
8.523224328264944916e+00,1.119487431097376286e-02
8.548219121016455091e+00,2.723826374300615289e-04
8.573213913767967043e+00,6.459196652402966667e-05
8.598208706519475442e+00,2.536298728169276200e-05
8.623203499270985617e+00,1.258779102488946723e-05
8.648198292022495792e+00,7.153700865550273123e-06
8.673193084774005968e+00,4.476057687917728588e-06
8.698187877525517919e+00,3.007054156862430853e-06
8.723182670277026318e+00,2.120075412413204267e-06
8.748177463028536494e+00,1.589684371935324226e-06
8.773172255780046669e+00,1.284241834474909615e-06
8.798167048531556844e+00,1.190603847030190543e-06
8.823161841283067020e+00,1.308785145326387920e-06
8.848156634034577195e+00,1.818990971405658517e-06
8.873151426786087370e+00,2.988867421283757060e-06
8.898146219537597545e+00,5.836588726624343034e-06
8.923141012289107721e+00,1.421514318077424741e-05
8.948135805040616120e+00,5.405951660665225773e-05
8.973130597792128071e+00,2.228262413828146181e-03
8.998125390543638247e+00,4.996828877149444258e-03
9.023120183295148422e+00,2.791045857922655905e-03
9.048114976046658597e+00,7.207929170566206576e-05
9.073109768798166996e+00,1.715773845175718975e-05
9.098104561549677172e+00,6.838374622761621625e-06
9.123099354301189123e+00,3.552709579371945305e-06
9.148094147052699299e+00,2.187074402802580118e-06
9.173088939804207698e+00,1.591691326990333796e-06
9.198083732555717873e+00,1.357081889491943127e-06
9.223078525307228048e+00,1.356206579434476945e-06
9.248073318058738224e+00,1.520119664032185592e-06
9.273068110810248399e+00,1.929650570071402310e-06
9.298062903561758574e+00,2.608748896477403045e-06
9.323057696313268750e+00,3.802695564143126578e-06
9.348052489064778925e+00,5.993267180450494287e-06
9.373047281816289100e+00,1.035206659543104872e-05
9.398042074567799276e+00,2.042139467165636550e-05
9.423036867319309451e+00,4.995287420108769145e-05
9.448031660070819626e+00,1.892609241171896322e-04
9.473026452822329802e+00,7.396516852703997370e-03
9.498021245573839977e+00,1.669444529401584165e-02
9.523016038325348376e+00,9.381743511281308637e-03
9.548010831076860327e+00,2.556623432877099780e-04
9.573005623828370503e+00,6.016856204934998393e-05
9.598000416579880678e+00,2.353883903515706710e-05
9.622995209331390853e+00,1.164064580246955092e-05
9.647990002082899252e+00,6.590285856177841101e-06
9.672984794834411204e+00,4.098797307740127345e-06
9.697979587585921379e+00,2.728504538708143636e-06
9.722974380337431555e+00,1.914680696766555420e-06
9.747969173088939954e+00,1.416152242052826975e-06
9.772963965840450129e+00,1.153642380786868677e-06
9.797958758591960304e+00,1.122254691567695779e-06
9.822953551343472256e+00,1.326271381179432241e-06
9.847948344094980655e+00,1.963563694352032764e-06
9.872943136846490830e+00,3.331281211544816999e-06
9.897937929598001006e+00,6.571410249165850430e-06
9.922932722349511181e+00,1.605031415911943810e-05
9.947927515101023133e+00,6.073899328948739756e-05
9.972922307852531532e+00,2.258766423207699079e-03
9.997917100604041707e+00,5.131784993519602871e-03
1.002291189335555188e+01,2.901196326577629506e-03
1.004790668610706206e+01,8.341694495105506915e-05
1.007290147885857223e+01,1.968051756325232111e-05
1.009789627161008241e+01,7.790921983496379980e-06
1.012289106436159258e+01,4.003295397626521888e-06
1.014788585711310276e+01,2.418837021374252156e-06
1.017288064986461293e+01,1.719867988276026824e-06
1.019787544261612311e+01,1.420344121285085924e-06
1.022287023536763151e+01,1.384275202834780898e-06
1.024786502811914346e+01,1.518521749368168336e-06
1.027285982087065364e+01,1.906392743673117718e-06
1.029785461362216381e+01,2.551492753629382240e-06
1.032284940637367221e+01,3.693138439947061235e-06
1.034784419912518239e+01,5.792481692865045204e-06
1.037283899187669434e+01,9.964510289241871533e-06
1.039783378462820451e+01,1.958550681746197049e-05
1.042282857737971291e+01,4.772869787553691483e-05
1.044782337013122309e+01,1.796643956661245450e-04
1.047281816288273326e+01,6.365223740614032490e-03
1.049781295563424344e+01,1.455581649339272518e-02
1.052280774838575539e+01,8.279005639763976909e-03
1.054780254113726379e+01,2.498944675695187099e-04
1.057279733388877396e+01,5.835513128331740759e-05
1.059779212664028414e+01,2.272576342331532426e-05
1.062278691939179431e+01,1.118930350994446258e-05
1.064778171214330449e+01,6.302649113618276644e-06
1.067277650489481466e+01,3.881131869234794439e-06
1.069777129764632484e+01,2.549569741304622634e-06
1.072276609039783501e+01,1.762152476501783186e-06
1.074776088314934519e+01,1.271798162653118461e-06
1.077275567590085359e+01,1.030057131670735026e-06
1.079775046865236554e+01,1.040950704874395473e-06
1.082274526140387572e+01,1.317283665668249075e-06
1.084774005415538589e+01,2.056937521019266825e-06
1.087273484690689607e+01,3.584178506118061236e-06
1.089772963965840447e+01,7.130804994079528444e-06
1.092272443240991642e+01,1.745360863439742854e-05
1.094771922516142659e+01,6.577966291903980674e-05
1.097271401791293677e+01,2.229693444958260815e-03
1.099770881066444517e+01,5.132702301334863583e-03
1.102270360341595534e+01,2.936762573553863571e-03
1.104769839616746552e+01,9.310857375985182136e-05
1.107269318891897747e+01,2.180123945457442124e-05
1.109768798167048587e+01,8.599974405299438897e-06
1.112268277442199604e+01,4.391509222357148058e-06
1.114767756717350622e+01,2.639812263259913994e-06
1.117267235992501639e+01,1.856722258333659411e-06
1.119766715267652657e+01,1.519252282759259497e-06
1.122266194542803674e+01,1.465587912637495822e-06
1.124765673817954692e+01,1.601478583629530728e-06
1.127265153093105710e+01,1.999395572153260766e-06
1.129764632368256727e+01,2.667821075026831467e-06
