n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.851168394088745117e-01,9.851168394088745117e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.726754426956176758e-01,9.726754426956176758e-01,1.000000119209289551e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.851094484329223633e-01,9.851094484329223633e-01,9.999999403953552246e-01
4.000000000000000000e+00,2.513274122871834493e+01,9.706073999404907227e-01,9.706073999404907227e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.850863218307495117e-01,9.850863218307495117e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.769911184307751739e+01,9.672150611877441406e-01,9.672150611877441406e-01,1.000000119209289551e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.850477576255798340e-01,9.850477576255798340e-01,1.000000000000000000e+00
8.000000000000000000e+00,5.026548245743668986e+01,9.625113010406494141e-01,9.625113010406494141e-01,1.000000119209289551e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.849935770034790039e-01,9.849935770034790039e-01,1.000000000000000000e+00
1.000000000000000000e+01,6.283185307179586232e+01,9.565143585205078125e-01,9.565143585205078125e-01,1.000000000000000000e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.849238395690917969e-01,9.849238395690917969e-01,9.999999403953552246e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.492459297180175781e-01,9.492459297180175781e-01,9.999999403953552246e-01
1.300000000000000000e+01,8.168140899333462812e+01,-9.848384857177734375e-01,9.848384857177734375e-01,1.000000000000000000e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.407340288162231445e-01,9.407340288162231445e-01,1.000000000000000000e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.847375154495239258e-01,9.847375154495239258e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.310069680213928223e-01,9.310069680213928223e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.846209287643432617e-01,9.846209287643432617e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.130973355292325522e+02,9.201050996780395508e-01,9.201050996780395508e-01,9.999999403953552246e-01
1.900000000000000000e+01,1.193805208364121313e+02,-9.844884872436523438e-01,9.844884872436523438e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.256637061435917246e+02,9.080638885498046875e-01,9.080638885498046875e-01,9.999999403953552246e-01
2.100000000000000000e+01,1.319468914507713180e+02,-9.843404889106750488e-01,9.843404889106750488e-01,1.000000000000000000e+00
2.200000000000000000e+01,1.382300767579508829e+02,8.949259519577026367e-01,8.949259519577026367e-01,1.000000000000000000e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.841766357421875000e-01,9.841766357421875000e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.507964473723100696e+02,8.807322978973388672e-01,8.807322978973388672e-01,1.000000000000000000e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.839971065521240234e-01,9.839971065521240234e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.633628179866692562e+02,8.655358552932739258e-01,8.655358552932739258e-01,1.000000000000000000e+00
2.700000000000000000e+01,1.696460032938488212e+02,-9.838016033172607422e-01,9.838016033172607422e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.759291886010284145e+02,8.493861556053161621e-01,8.493861556053161621e-01,9.999999403953552246e-01
2.900000000000000000e+01,1.822123739082080078e+02,-9.835903644561767578e-01,9.835903644561767578e-01,9.999999403953552246e-01
3.000000000000000000e+01,1.884955592153875727e+02,8.323353528976440430e-01,8.323353528976440430e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.833630323410034180e-01,9.833630323410034180e-01,1.000000000000000000e+00
3.200000000000000000e+01,2.010619298297467594e+02,8.144316673278808594e-01,8.144316673278808594e-01,1.000000119209289551e+00
3.300000000000000000e+01,2.073451151369263528e+02,-9.831196665763854980e-01,9.831196665763854980e-01,1.000000000000000000e+00
3.400000000000000000e+01,2.136283004441059461e+02,7.957365512847900391e-01,7.957365512847900391e-01,1.000000000000000000e+00
3.500000000000000000e+01,2.199114857512855110e+02,-9.828602075576782227e-01,9.828602075576782227e-01,1.000000000000000000e+00
3.600000000000000000e+01,2.261946710584651044e+02,7.762950658798217773e-01,7.762950658798217773e-01,1.000000000000000000e+00
3.700000000000000000e+01,2.324778563656446977e+02,-9.825847744941711426e-01,9.825847744941711426e-01,1.000000000000000000e+00
3.800000000000000000e+01,2.387610416728242626e+02,7.561720609664916992e-01,7.561720609664916992e-01,9.999999403953552246e-01
3.900000000000000000e+01,2.450442269800038559e+02,-9.822931289672851562e-01,9.822931289672851562e-01,1.000000000000000000e+00
4.000000000000000000e+01,2.513274122871834493e+02,7.354192733764648438e-01,7.354192733764648438e-01,1.000000119209289551e+00
4.100000000000000000e+01,2.576105975943630142e+02,-9.819850921630859375e-01,9.819850921630859375e-01,9.999999403953552246e-01
4.200000000000000000e+01,2.638937829015426360e+02,7.140884399414062500e-01,7.140884399414062500e-01,1.000000000000000000e+00
4.300000000000000000e+01,2.701769682087222009e+02,-9.816607236862182617e-01,9.816607236862182617e-01,1.000000000000000000e+00
4.400000000000000000e+01,2.764601535159017658e+02,6.922382116317749023e-01,6.922382116317749023e-01,1.000000000000000000e+00
4.500000000000000000e+01,2.827433388230813875e+02,-9.813199043273925781e-01,9.813199043273925781e-01,1.000000000000000000e+00
4.600000000000000000e+01,2.890265241302609525e+02,6.699246764183044434e-01,6.699246764183044434e-01,1.000000000000000000e+00
4.700000000000000000e+01,2.953097094374405742e+02,-9.809625744819641113e-01,9.809625744819641113e-01,1.000000000000000000e+00
4.800000000000000000e+01,3.015928947446201391e+02,6.471924781799316406e-01,6.471924781799316406e-01,1.000000119209289551e+00
4.900000000000000000e+01,3.078760800517997041e+02,-9.805885553359985352e-01,9.805885553359985352e-01,1.000000000000000000e+00
5.000000000000000000e+01,3.141592653589793258e+02,6.240998506546020508e-01,6.240998506546020508e-01,1.000000000000000000e+00
5.100000000000000000e+01,3.204424506661588907e+02,-9.801980257034301758e-01,9.801980257034301758e-01,1.000000000000000000e+00
5.200000000000000000e+01,3.267256359733385125e+02,6.006960868835449219e-01,6.006960868835449219e-01,1.000000000000000000e+00
5.300000000000000000e+01,3.330088212805180774e+02,-9.797904491424560547e-01,9.797904491424560547e-01,1.000000000000000000e+00
5.400000000000000000e+01,3.392920065876976423e+02,5.770271420478820801e-01,5.770271420478820801e-01,1.000000119209289551e+00
5.500000000000000000e+01,3.455751918948772641e+02,-9.793659448623657227e-01,9.793659448623657227e-01,1.000000000000000000e+00
5.600000000000000000e+01,3.518583772020568290e+02,5.531393289566040039e-01,5.531393289566040039e-01,1.000000000000000000e+00
5.700000000000000000e+01,3.581415625092363939e+02,-9.789244532585144043e-01,9.789244532585144043e-01,1.000000000000000000e+00
5.800000000000000000e+01,3.644247478164160157e+02,5.290755033493041992e-01,5.290755033493041992e-01,9.999999403953552246e-01
5.900000000000000000e+01,3.707079331235955806e+02,-9.784657359123229980e-01,9.784657359123229980e-01,1.000000000000000000e+00
6.000000000000000000e+01,3.769911184307751455e+02,5.048859119415283203e-01,5.048859119415283203e-01,1.000000000000000000e+00
6.100000000000000000e+01,3.832743037379547673e+02,-9.779897928237915039e-01,9.779897928237915039e-01,1.000000000000000000e+00
6.200000000000000000e+01,3.895574890451343322e+02,4.806138277053833008e-01,4.806138277053833008e-01,1.000000000000000000e+00
6.300000000000000000e+01,3.958406743523139539e+02,-9.774965047836303711e-01,9.774965047836303711e-01,1.000000119209289551e+00
6.400000000000000000e+01,4.021238596594935188e+02,4.562846124172210693e-01,4.562846124172210693e-01,1.000000000000000000e+00
6.500000000000000000e+01,4.084070449666730838e+02,-9.769856929779052734e-01,9.769856929779052734e-01,1.000000000000000000e+00
6.600000000000000000e+01,4.146902302738527055e+02,4.319428503513336182e-01,4.319428503513336182e-01,1.000000000000000000e+00
6.700000000000000000e+01,4.209734155810322704e+02,-9.764573574066162109e-01,9.764573574066162109e-01,9.999999403953552246e-01
6.800000000000000000e+01,4.272566008882118922e+02,4.076228439807891846e-01,4.076228439807891846e-01,1.000000000000000000e+00
6.900000000000000000e+01,4.335397861953914571e+02,-9.759108424186706543e-01,9.759108424186706543e-01,1.000000119209289551e+00
7.000000000000000000e+01,4.398229715025710220e+02,3.833542764186859131e-01,3.833542764186859131e-01,1.000000000000000000e+00
7.100000000000000000e+01,4.461061568097506438e+02,-9.753466844558715820e-01,9.753466844558715820e-01,9.999999403953552246e-01
7.200000000000000000e+01,4.523893421169302087e+02,3.591670393943786621e-01,3.591670393943786621e-01,1.000000000000000000e+00
7.300000000000000000e+01,4.586725274241097736e+02,-9.747642874717712402e-01,9.747642874717712402e-01,1.000000000000000000e+00
7.400000000000000000e+01,4.649557127312893954e+02,3.350983858108520508e-01,3.350983858108520508e-01,9.999999403953552246e-01
7.500000000000000000e+01,4.712388980384689603e+02,-9.741637706756591797e-01,9.741637706756591797e-01,9.999999403953552246e-01
7.600000000000000000e+01,4.775220833456485252e+02,3.111638724803924561e-01,3.111638724803924561e-01,1.000000000000000000e+00
7.700000000000000000e+01,4.838052686528281470e+02,-9.735448360443115234e-01,9.735448360443115234e-01,1.000000000000000000e+00
7.800000000000000000e+01,4.900884539600077119e+02,2.873940765857696533e-01,2.873940765857696533e-01,1.000000000000000000e+00
7.900000000000000000e+01,4.963716392671873336e+02,-9.729073047637939453e-01,9.729073047637939453e-01,1.000000000000000000e+00
8.000000000000000000e+01,5.026548245743668986e+02,2.638064026832580566e-01,2.638064026832580566e-01,1.000000000000000000e+00
