n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999996669e-01
1.000000000000000000e+00,6.283185307179586232e+00,-9.985973219615742469e-01,9.985973219615742469e-01,9.999999999999942268e-01
2.000000000000000000e+00,1.256637061435917246e+01,9.992828609046768840e-01,9.992828609046768840e-01,9.999999999999998890e-01
3.000000000000000000e+00,1.884955592153875870e+01,-9.993454591757506833e-01,9.993454591757506833e-01,9.999999999999947820e-01
4.000000000000000000e+00,2.513274122871834493e+01,9.983905743539620570e-01,9.983905743539620570e-01,1.000000000000000888e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.994828106981518134e-01,9.994828106981518134e-01,9.999999999999956701e-01
6.000000000000000000e+00,3.769911184307751739e+01,9.982811738041176275e-01,9.982811738041176275e-01,1.000000000000001554e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.990370689458731857e-01,9.990370689458731857e-01,9.999999999999954481e-01
8.000000000000000000e+00,5.026548245743668986e+01,9.987654569871442511e-01,9.987654569871442511e-01,1.000000000000001554e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.986361357875669365e-01,9.986361357875669365e-01,9.999999999999954481e-01
1.000000000000000000e+01,6.283185307179586232e+01,9.991227177398300796e-01,9.991227177398300796e-01,1.000000000000000666e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.987689595836214407e-01,9.987689595836214407e-01,9.999999999999942268e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.989132672888954012e-01,9.989132672888954012e-01,9.999999999999998890e-01
1.300000000000000000e+01,8.168140899333462812e+01,-9.988688505269187612e-01,9.988688505269187612e-01,9.999999999999937828e-01
1.400000000000000000e+01,8.796459430051420725e+01,9.988346442899822542e-01,9.988346442899822542e-01,9.999999999999995559e-01
1.500000000000000000e+01,9.424777960769378637e+01,-9.983862203319578965e-01,9.983862203319578965e-01,9.999999999999940048e-01
1.600000000000000000e+01,1.005309649148733797e+02,9.991203460961046723e-01,9.991203460961046723e-01,9.999999999999997780e-01
1.700000000000000000e+01,1.068141502220529730e+02,-9.983376744582853624e-01,9.983376744582853624e-01,9.999999999999948930e-01
1.800000000000000000e+01,1.130973355292325522e+02,9.989353121145405634e-01,9.989353121145405634e-01,1.000000000000000888e+00
1.900000000000000000e+01,1.193805208364121313e+02,-9.989573591343048342e-01,9.989573591343048342e-01,9.999999999999956701e-01
2.000000000000000000e+01,1.256637061435917246e+02,9.983349587310743622e-01,9.983349587310743622e-01,1.000000000000001776e+00
2.100000000000000000e+01,1.319468914507713180e+02,-9.994980671918677340e-01,9.994980671918677340e-01,9.999999999999958922e-01
2.200000000000000000e+01,1.382300767579508829e+02,9.979807643842428799e-01,9.979807643842428799e-01,1.000000000000001998e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.991771314083331967e-01,9.991771314083331967e-01,9.999999999999951150e-01
2.400000000000000000e+01,1.507964473723100696e+02,9.984937915964622324e-01,9.984937915964622324e-01,1.000000000000001332e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.981987739313826768e-01,9.981987739313826768e-01,9.999999999999945599e-01
2.600000000000000000e+01,1.633628179866692562e+02,9.994939673703738814e-01,9.994939673703738814e-01,9.999999999999998890e-01
2.700000000000000000e+01,1.696460032938488212e+02,-9.979723214338792614e-01,9.979723214338792614e-01,9.999999999999942268e-01
2.800000000000000000e+01,1.759291886010284145e+02,9.994517154362079214e-01,9.994517154362079214e-01,9.999999999999993339e-01
2.900000000000000000e+01,1.822123739082080078e+02,-9.986483444528363451e-01,9.986483444528363451e-01,9.999999999999940048e-01
3.000000000000000000e+01,1.884955592153875727e+02,9.986554271080722023e-01,9.986554271080722023e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.991614639771924100e-01,9.991614639771924100e-01,9.999999999999952260e-01
3.200000000000000000e+01,2.010619298297467594e+02,9.982841678206937353e-01,9.982841678206937353e-01,1.000000000000001110e+00
3.300000000000000000e+01,2.073451151369263528e+02,-9.991662861616921187e-01,9.991662861616921187e-01,9.999999999999954481e-01
3.400000000000000000e+01,2.136283004441059461e+02,9.985932587453548726e-01,9.985932587453548726e-01,1.000000000000001776e+00
3.500000000000000000e+01,2.199114857512855110e+02,-9.989317397636835461e-01,9.989317397636835461e-01,9.999999999999956701e-01
3.600000000000000000e+01,2.261946710584651044e+02,9.989908013637215367e-01,9.989908013637215367e-01,1.000000000000001110e+00
3.700000000000000000e+01,2.324778563656446977e+02,-9.989306214056308253e-01,9.989306214056308253e-01,9.999999999999950040e-01
3.800000000000000000e+01,2.387610416728242626e+02,9.989268927836191247e-01,9.989268927836191247e-01,1.000000000000000666e+00
3.900000000000000000e+01,2.450442269800038559e+02,-9.991263326724855176e-01,9.991263326724855176e-01,9.999999999999942268e-01
4.000000000000000000e+01,2.513274122871834493e+02,9.987691748729470298e-01,9.987691748729470298e-01,1.000000000000000000e+00
4.100000000000000000e+01,2.576105975943630142e+02,-9.986490608292085680e-01,9.986490608292085680e-01,9.999999999999937828e-01
4.200000000000000000e+01,2.638937829015426360e+02,9.992512714248805716e-01,9.992512714248805716e-01,9.999999999999997780e-01
4.300000000000000000e+01,2.701769682087222009e+02,-9.982898479663502300e-01,9.982898479663502300e-01,9.999999999999942268e-01
4.400000000000000000e+01,2.764601535159017658e+02,9.995273794266801293e-01,9.995273794266801293e-01,9.999999999999995559e-01
4.500000000000000000e+01,2.827433388230813875e+02,-9.987639442094216058e-01,9.987639442094216058e-01,9.999999999999947820e-01
4.600000000000000000e+01,2.890265241302609525e+02,9.990433215665898148e-01,9.990433215665898148e-01,1.000000000000000666e+00
4.700000000000000000e+01,2.953097094374405742e+02,-9.995793151397914800e-01,9.995793151397914800e-01,9.999999999999953371e-01
4.800000000000000000e+01,3.015928947446201391e+02,9.983028185882123484e-01,9.983028185882123484e-01,1.000000000000001332e+00
4.900000000000000000e+01,3.078760800517997041e+02,-9.997815976177049091e-01,9.997815976177049091e-01,9.999999999999950040e-01
5.000000000000000000e+01,3.141592653589793258e+02,9.981448358256312936e-01,9.981448358256312936e-01,1.000000000000001110e+00
5.100000000000000000e+01,3.204424506661588907e+02,-9.988749849351443721e-01,9.988749849351443721e-01,9.999999999999944489e-01
