n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.902791380882263184e-01,9.902791380882263184e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.701611399650573730e-01,9.701611399650573730e-01,1.000000000000000000e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.902791976928710938e-01,9.902791976928710938e-01,1.000000000000000000e+00
4.000000000000000000e+00,2.513274122871834493e+01,9.701366424560546875e-01,9.701366424560546875e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.902791976928710938e-01,9.902791976928710938e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.769911184307751739e+01,9.700958132743835449e-01,9.700958132743835449e-01,1.000000000000000000e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.902791976928710938e-01,9.902791976928710938e-01,1.000000000000000000e+00
8.000000000000000000e+00,5.026548245743668986e+01,9.700381159782409668e-01,9.700381159782409668e-01,1.000000000000000000e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.902791976928710938e-01,9.902791976928710938e-01,1.000000000000000000e+00
1.000000000000000000e+01,6.283185307179586232e+01,9.699642658233642578e-01,9.699642658233642578e-01,9.999999403953552246e-01
1.100000000000000000e+01,6.911503837897544145e+01,-9.902790784835815430e-01,9.902790784835815430e-01,9.999999403953552246e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.698736071586608887e-01,9.698736071586608887e-01,1.000000000000000000e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.902791380882263184e-01,9.902791380882263184e-01,1.000000119209289551e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.697664976119995117e-01,9.697664976119995117e-01,1.000000000000000000e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.902789592742919922e-01,9.902789592742919922e-01,1.000000119209289551e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.696428179740905762e-01,9.696428179740905762e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.902791380882263184e-01,9.902791380882263184e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.130973355292325522e+02,9.695031046867370605e-01,9.695031046867370605e-01,1.000000119209289551e+00
1.900000000000000000e+01,1.193805208364121313e+02,-9.902789592742919922e-01,9.902789592742919922e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.256637061435917246e+02,9.693452715873718262e-01,9.693452715873718262e-01,1.000000119209289551e+00
2.100000000000000000e+01,1.319468914507713180e+02,-9.902788996696472168e-01,9.902788996696472168e-01,1.000000000000000000e+00
