n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.618100536997310490e-01,9.618100536997310490e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,8.678963367937271300e-01,8.678963367937271300e-01,9.999999999999968914e-01
3.000000000000000000e+00,1.884955592153875870e+01,-7.383206131657871207e-01,7.383206131657871207e-01,1.000000000000000444e+00
4.000000000000000000e+00,2.513274122871834493e+01,6.097177725760698497e-01,6.097177725760698497e-01,9.999999999999875655e-01
5.000000000000000000e+00,3.141592653589793116e+01,-4.912536506415895454e-01,4.912536506415895454e-01,9.999999999999855671e-01
6.000000000000000000e+00,3.769911184307751739e+01,3.917811680722970702e-01,3.917811680722970702e-01,9.999999999999793499e-01
7.000000000000000000e+00,4.398229715025710362e+01,-3.123000046698196086e-01,3.123000046698196086e-01,9.999999999999715783e-01
8.000000000000000000e+00,5.026548245743668986e+01,2.500556542887315548e-01,2.500556542887315548e-01,9.999999999999721334e-01
9.000000000000000000e+00,5.654866776461627609e+01,-2.042170959046847034e-01,2.042170959046847034e-01,9.999999999999710232e-01
1.000000000000000000e+01,6.283185307179586232e+01,1.716666740756436771e-01,1.716666740756436771e-01,9.999999999999757971e-01
1.100000000000000000e+01,6.911503837897544145e+01,-1.514574161331190272e-01,1.514574161331190272e-01,9.999999999999765743e-01
1.200000000000000000e+01,7.539822368615503478e+01,1.431508394993257216e-01,1.431508394993257216e-01,9.999999999999860112e-01
1.300000000000000000e+01,8.168140899333462812e+01,-1.449253341391340544e-01,1.449253341391340544e-01,9.999999999999885647e-01
1.400000000000000000e+01,8.796459430051420725e+01,1.544910134848425376e-01,1.544910134848425376e-01,1.000000000000000222e+00
1.500000000000000000e+01,9.424777960769378637e+01,-1.668698894824471868e-01,1.668698894824471868e-01,1.000000000000004441e+00
1.600000000000000000e+01,1.005309649148733797e+02,1.785459072439307682e-01,1.785459072439307682e-01,1.000000000000003997e+00
1.700000000000000000e+01,1.068141502220529730e+02,-1.883297938708936026e-01,1.883297938708936026e-01,1.000000000000010658e+00
1.800000000000000000e+01,1.130973355292325522e+02,2.015434473381172431e-01,2.015434473381172431e-01,9.999999999999995559e-01
1.900000000000000000e+01,1.193805208364121313e+02,-2.258599694255377655e-01,2.258599694255377655e-01,1.000000000000006661e+00
2.000000000000000000e+01,1.256637061435917246e+02,2.623176147675483350e-01,2.623176147675483350e-01,9.999999999999991118e-01
2.100000000000000000e+01,1.319468914507713180e+02,-3.082490451455258684e-01,3.082490451455258684e-01,1.000000000000006217e+00
2.200000000000000000e+01,1.382300767579508829e+02,3.461771314919869225e-01,3.461771314919869225e-01,1.000000000000003553e+00
2.300000000000000000e+01,1.445132620651304762e+02,-3.691811239997061511e-01,3.691811239997061511e-01,1.000000000000006661e+00
2.400000000000000000e+01,1.507964473723100696e+02,3.779479432298175068e-01,3.779479432298175068e-01,1.000000000000002665e+00
2.500000000000000000e+01,1.570796326794896629e+02,-3.766388932750619478e-01,3.766388932750619478e-01,1.000000000000004441e+00
