omega_tilde_over_omega,normalized_amplitude
0.000000000000000000e+00,1.420902456409425373e-03
2.499479275151010593e-02,7.110721280800465531e-04
4.998958550302021187e-02,1.454107441233709596e-07
7.498437825453031780e-02,1.787592508092860884e-07
9.997917100604042373e-02,9.304279062736116018e-08
1.249739637575505297e-01,4.335247967896006462e-08
1.499687565090606356e-01,1.385862239567783568e-07
1.749635492605707277e-01,3.357404971689685844e-07
1.999583420120808475e-01,6.332978872777017613e-07
2.249531347635909395e-01,1.076854187218794280e-06
2.499479275151010593e-01,1.771872403843759461e-06
2.749427202666111514e-01,2.855356214677617461e-06
2.999375130181212712e-01,4.616409822105716295e-06
3.249323057696313910e-01,7.715827933315409968e-06
3.499270985211414553e-01,1.353642499279143935e-05
3.749218912726515751e-01,2.567111073902639677e-05
3.999166840241616949e-01,5.508744817966250006e-05
4.249114767756718147e-01,1.466457923251822870e-04
4.499062695271818790e-01,6.202859012520826627e-04
4.749010622786919988e-01,4.970378215274089961e-01
4.998958550302021187e-01,1.000000000000000000e+00
5.248906477817121274e-01,5.032867365099323864e-01
5.498854405332223028e-01,7.704561742558287173e-04
5.748802332847323671e-01,2.009384558401569143e-04
5.998750260362425424e-01,8.390992268282929621e-05
6.248698187877526067e-01,4.380359448698162213e-05
6.498646115392627820e-01,2.612067923461511735e-05
6.748594042907728463e-01,1.705891730446357387e-05
6.998541970422829106e-01,1.186133747800338649e-05
7.248489897937929749e-01,8.662801765216141458e-06
7.498437825453031502e-01,6.579016316960551803e-06
7.748385752968132145e-01,5.194920331964857953e-06
7.998333680483233898e-01,4.169942477059256216e-06
8.248281607998333431e-01,3.457256101663133856e-06
8.498229535513436295e-01,2.985024709685871337e-06
8.748177463028535827e-01,2.687798649117217915e-06
8.998125390543637581e-01,2.771645412785704638e-06
9.248073318058738224e-01,4.185328624352436905e-06
9.498021245573839977e-01,1.356631854921685598e-05
9.747969173088940620e-01,4.926252540384628426e-03
9.997917100604042373e-01,9.972245291583912638e-03
1.024786502811914302e+00,5.050687167317879922e-03
1.049781295563424255e+00,1.459962348261398390e-05
1.074776088314934430e+00,3.764225382750126298e-06
1.099770881066444606e+00,1.702986190257833363e-06
1.124765673817954781e+00,1.171778245025111047e-06
1.149760466569464734e+00,9.900891664481813708e-07
1.174755259320974909e+00,9.416657464893173428e-07
1.199750052072485085e+00,9.590955197860404371e-07
1.224744844823995038e+00,1.026631635243861769e-06
1.249739637575505213e+00,1.153346153911212484e-06
1.274734430327015389e+00,1.385996795615276333e-06
1.299729223078525564e+00,1.811164470332641262e-06
1.324724015830035517e+00,2.536552009612615594e-06
1.349718808581545693e+00,3.860280926960892564e-06
1.374713601333055646e+00,6.579145107125938208e-06
1.399708394084565821e+00,1.301162601420657248e-05
1.424703186836075997e+00,3.249380482962757361e-05
1.449697979587585950e+00,1.299947915839825012e-04
1.474692772339096125e+00,3.232410511320207153e-02
1.499687565090606300e+00,6.585357187910362287e-02
1.524682357842116476e+00,3.355867953504623746e-02
1.549677150593626429e+00,1.448246865824519378e-04
1.574671943345136382e+00,3.620853205372607153e-05
1.599666736096646780e+00,1.449818310598964573e-05
1.624661528848156955e+00,7.198178689929229926e-06
1.649656321599666686e+00,4.054673183054261072e-06
1.674651114351176862e+00,2.446483381542781210e-06
1.699645907102687259e+00,1.559264733474161544e-06
1.724640699854197434e+00,1.026753438494191139e-06
1.749635492605707165e+00,6.745197964365591750e-07
1.774630285357217341e+00,3.797075092618758728e-07
1.799625078108727516e+00,2.322068195279938993e-07
1.824619870860237469e+00,5.006229265726114034e-08
1.849614663611747645e+00,1.847655255875833135e-07
1.874609456363257820e+00,4.794672646352939467e-07
1.899604249114767995e+00,1.083290292767035564e-06
1.924599041866277949e+00,2.907134281090069914e-06
1.949593834617788124e+00,1.168755810766319831e-05
1.974588627369298299e+00,2.175364716702585677e-03
1.999583420120808475e+00,4.459888181658976450e-03
2.024578212872318428e+00,2.286839829271584707e-03
2.049573005623828603e+00,1.307894148090820223e-05
2.074567798375338779e+00,3.275886631562602826e-06
2.099562591126848510e+00,1.350433626430579273e-06
2.124557383878358685e+00,7.666008714598543776e-07
2.149552176629868860e+00,6.221960204909186057e-07
2.174546969381379480e+00,6.313936192352799613e-07
2.199541762132889211e+00,7.383870559581232711e-07
2.224536554884399386e+00,9.160269171364987415e-07
2.249531347635909562e+00,1.163500611633553912e-06
2.274526140387419293e+00,1.554955335360130259e-06
2.299520933138929468e+00,2.190725013219464587e-06
2.324515725890439644e+00,3.230599811791271378e-06
2.349510518641949819e+00,5.102900523648403064e-06
2.374505311393459994e+00,8.884204506200715930e-06
2.399500104144970170e+00,1.771728409947229688e-05
2.424494896896480345e+00,4.424484466104116199e-05
2.449489689647990076e+00,1.755288756474505897e-04
2.474484482399500251e+00,2.594157088833387928e-02
2.499479275151010427e+00,5.352090243316057899e-02
2.524474067902520602e+00,2.761397895345787945e-02
2.549468860654030777e+00,1.968423644513872788e-04
2.574463653405540953e+00,4.877283566014305302e-05
2.599458446157051128e+00,1.948589332528498540e-05
2.624453238908560859e+00,9.715513488875635763e-06
2.649448031660071035e+00,5.523232776026500489e-06
2.674442824411581210e+00,3.399037242156566181e-06
2.699437617163091385e+00,2.233476365498162107e-06
2.724432409914601116e+00,1.520091912643385000e-06
2.749427202666111292e+00,1.073185461516511628e-06
2.774421995417621467e+00,7.029054458970624515e-07
2.799416788169131642e+00,5.099705849220526510e-07
2.824411580920641818e+00,2.914789157711686482e-07
2.849406373672151993e+00,2.050771554272865747e-07
2.874401166423662168e+00,4.942632323405057671e-07
2.899395959175171900e+00,1.303982591437533581e-06
2.924390751926682075e+00,3.723101220809772138e-06
2.949385544678192250e+00,1.547272505729888219e-05
2.974380337429702426e+00,1.937084973698173463e-03
2.999375130181212601e+00,4.022577796992497443e-03
3.024369922932722776e+00,2.087875190329762255e-03
3.049364715684232952e+00,1.809770326868474902e-05
3.074359508435742683e+00,4.715386560470441406e-06
3.099354301187252858e+00,2.089002203089952652e-06
3.124349093938763033e+00,1.278264274121936645e-06
3.149343886690272765e+00,1.000496741717286904e-06
3.174338679441783384e+00,9.361087482980575474e-07
3.199333472193293559e+00,1.005673708089599869e-06
3.224328264944803291e+00,1.182021171554707377e-06
3.249323057696313910e+00,1.456994939550683378e-06
3.274317850447823641e+00,1.925257771490394632e-06
3.299312643199333372e+00,2.681986333109524942e-06
3.324307435950843992e+00,3.938268684148996865e-06
3.349302228702353723e+00,6.211475038824191041e-06
3.374297021453864343e+00,1.079326380271098362e-05
3.399291814205374518e+00,2.146411271184218208e-05
3.424286606956884249e+00,5.335869655169697034e-05
3.449281399708394868e+00,2.099298725395826886e-04
3.474276192459904600e+00,2.209844048374379546e-02
3.499270985211414331e+00,4.617266821663775639e-02
3.524265777962924950e+00,2.411855990162666691e-02
3.549260570714434682e+00,2.400800416636419835e-04
3.574255363465944857e+00,5.899291103384343758e-05
3.599250156217455032e+00,2.347741350946372309e-05
3.624244948968965208e+00,1.168990452469825794e-05
3.649239741720474939e+00,6.653023994798946976e-06
3.674234534471985558e+00,4.109802243761091084e-06
3.699229327223495289e+00,2.724645750320373561e-06
3.724224119975005909e+00,1.869756240864789035e-06
3.749218912726515640e+00,1.348031682808920271e-06
3.774213705478025815e+00,9.347231526525491471e-07
3.799208498229535991e+00,7.214651924712972221e-07
3.824203290981046166e+00,5.222550834423972320e-07
3.849198083732555897e+00,4.854340831355815076e-07
3.874192876484066517e+00,7.719523766146176053e-07
3.899187669235576248e+00,1.738976805823649572e-06
3.924182461987085979e+00,4.693793229134993082e-06
3.949177254738596599e+00,1.918733853375981989e-05
3.974172047490106330e+00,1.796488529875751730e-03
3.999166840241616949e+00,3.778432507110670267e-03
4.024161632993126680e+00,1.985329325646404026e-03
4.049156425744636856e+00,2.293693009725803668e-05
4.074151218496147031e+00,5.955896101392234865e-06
4.099146011247657206e+00,2.644293679549421014e-06
4.124140803999167382e+00,1.625677961104858177e-06
4.149135596750677557e+00,1.250275909536330336e-06
4.174130389502187732e+00,1.147528513862050006e-06
4.199125182253697020e+00,1.221593389229964502e-06
4.224119975005208083e+00,1.404664526721038424e-06
4.249114767756717370e+00,1.729935569209488518e-06
4.274109560508227545e+00,2.285669480423872464e-06
4.299104353259737721e+00,3.181836095083748621e-06
4.324099146011247896e+00,4.681412642629226569e-06
4.349093938762758960e+00,7.404531814192117660e-06
4.374088731514268247e+00,1.285359724971617031e-05
4.399083524265778422e+00,2.555960641906252853e-05
4.424078317017288597e+00,6.334133424784178193e-05
4.449073109768798773e+00,2.475261471978278485e-04
4.474067902520308060e+00,2.026089500459385406e-02
4.499062695271819123e+00,4.287496262847156903e-02
4.524057488023329299e+00,2.267302048467893447e-02
4.549052280774838586e+00,2.901495921706373038e-04
4.574047073526349649e+00,7.078135707800578015e-05
4.599041866277858936e+00,2.809640539279692430e-05
4.624036659029369112e+00,1.397880780313347919e-05
4.649031451780879287e+00,7.975217254024985367e-06
4.674026244532389462e+00,4.948760564183310257e-06
4.699021037283899638e+00,3.304386410473428431e-06
4.724015830035409813e+00,2.289456045034178588e-06
4.749010622786919988e+00,1.678581845535738396e-06
4.774005415538430164e+00,1.220559675926489036e-06
4.799000208289940339e+00,9.812214841751164692e-07
4.823995001041449626e+00,8.109921629255195419e-07
4.848989793792960690e+00,8.565202391373647255e-07
4.873984586544469977e+00,1.248937547441462092e-06
4.898979379295980152e+00,2.526160175913235040e-06
4.923974172047490327e+00,6.400093451860800617e-06
4.948968964799000503e+00,2.548208181089227999e-05
4.973963757550511566e+00,1.896402357079581338e-03
4.998958550302020853e+00,4.039491338975216041e-03
5.023953343053531029e+00,2.148812807199875462e-03
5.048948135805041204e+00,3.088929503096228194e-05
5.073942928556551379e+00,7.835279412959526160e-06
5.098937721308061555e+00,3.374157281534594856e-06
5.123932514059571730e+00,1.977227820887657505e-06
5.148927306811081905e+00,1.446125846138425895e-06
5.173922099562591193e+00,1.257388057203647901e-06
5.198916892314102256e+00,1.298434159754281423e-06
5.223911685065611543e+00,1.440928053855087229e-06
5.248906477817121718e+00,1.772650471496289729e-06
5.273901270568631894e+00,2.334490070592224291e-06
5.298896063320142069e+00,3.244612325840112640e-06
5.323890856071652244e+00,4.781329001511528202e-06
5.348885648823162420e+00,7.584184026504998953e-06
5.373880441574672595e+00,1.316791175192628190e-05
5.398875234326182770e+00,2.617977200738548664e-05
5.423870027077692946e+00,6.472791718144931146e-05
5.448864819829202233e+00,2.513923648861027455e-04
5.473859612580713296e+00,1.685135139988332142e-02
5.498854405332222584e+00,3.611834114298512199e-02
5.523849198083732759e+00,1.933534163563083857e-02
5.548843990835242934e+00,3.027441775436851305e-04
5.573838783586753109e+00,7.334765569592333946e-05
5.598833576338263285e+00,2.905450854985622137e-05
5.623828369089773460e+00,1.445189598164038168e-05
5.648823161841283635e+00,8.265861083959657299e-06
5.673817954592793811e+00,5.156823064731366502e-06
5.698812747344303986e+00,3.461025987883501439e-06
5.723807540095814161e+00,2.419703482470632708e-06
5.748802332847324337e+00,1.817636053291211189e-06
5.773797125598834512e+00,1.363822914526300826e-06
5.798791918350343799e+00,1.145020929006798128e-06
5.823786711101854863e+00,1.052301602193407011e-06
5.848781503853364150e+00,1.221208998437540672e-06
5.873776296604874325e+00,1.808202891508763891e-06
5.898771089356384500e+00,3.532796190008401957e-06
5.923765882107894676e+00,8.660837691828109997e-06
5.948760674859404851e+00,3.379231724023812539e-05
5.973755467610915026e+00,2.086340011784965261e-03
5.998750260362425202e+00,4.500952612310418419e-03
6.023745053113935377e+00,2.423942881426229424e-03
6.048739845865445552e+00,4.166067618372230018e-05
6.073734638616954840e+00,1.031726969395066696e-05
6.098729431368465903e+00,4.299190319828069988e-06
6.123724224119975190e+00,2.383868748662313996e-06
6.148719016871485366e+00,1.632763487426259233e-06
6.173713809622996429e+00,1.324675368084896425e-06
6.198708602374505716e+00,1.293338011042380550e-06
6.223703395126015891e+00,1.368210326863836875e-06
