t_over_T,t,mx,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.333333333333333218e-03,5.235987755982988295e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.666666666666666644e-02,1.047197551196597659e-01,9.999982714653015137e-01,1.000000119209289551e+00
2.500000000000000139e-02,1.570796326794896558e-01,9.999791979789733887e-01,1.000000000000000000e+00
3.333333333333333287e-02,2.094395102393195318e-01,9.998840689659118652e-01,9.999999403953552246e-01
4.166666666666666435e-02,2.617993877991494078e-01,9.995628595352172852e-01,9.999999403953552246e-01
5.000000000000000278e-02,3.141592653589793116e-01,9.987174868583679199e-01,1.000000000000000000e+00
5.833333333333332732e-02,3.665191429188091599e-01,9.968457221984863281e-01,1.000000000000000000e+00
6.666666666666666574e-02,4.188790204786390636e-01,9.931947588920593262e-01,1.000000000000000000e+00
7.499999999999999722e-02,4.712388980384689674e-01,9.867327809333801270e-01,9.999999403953552246e-01
8.333333333333332871e-02,5.235987755982988157e-01,9.761139154434204102e-01,1.000000000000000000e+00
9.166666666666666019e-02,5.759586531581286639e-01,9.596063494682312012e-01,1.000000000000000000e+00
1.000000000000000056e-01,6.283185307179586232e-01,9.349274039268493652e-01,1.000000000000000000e+00
1.083333333333333232e-01,6.806784082777884715e-01,8.989868164062500000e-01,9.999999403953552246e-01
1.166666666666666546e-01,7.330382858376183197e-01,8.478205800056457520e-01,1.000000119209289551e+00
1.250000000000000000e-01,7.853981633974482790e-01,7.780922651290893555e-01,1.000000000000000000e+00
1.333333333333333315e-01,8.377580409572781273e-01,6.947389245033264160e-01,1.000000000000000000e+00
1.416666666666666630e-01,8.901179185171079755e-01,6.307490468025207520e-01,1.000000000000000000e+00
1.499999999999999944e-01,9.424777960769379348e-01,6.454370021820068359e-01,1.000000000000000000e+00
1.583333333333333259e-01,9.948376736367677831e-01,7.105850577354431152e-01,9.999999403953552246e-01
1.666666666666666574e-01,1.047197551196597631e+00,7.063148617744445801e-01,9.999999403953552246e-01
1.749999999999999889e-01,1.099557428756427591e+00,7.057006955146789551e-01,9.999999403953552246e-01
1.833333333333333204e-01,1.151917306316257328e+00,8.654949069023132324e-01,9.999998807907104492e-01
1.916666666666666519e-01,1.204277183876087287e+00,8.432812094688415527e-01,1.000000000000000000e+00
2.000000000000000111e-01,1.256637061435917246e+00,7.343013286590576172e-01,9.999999403953552246e-01
2.083333333333333148e-01,1.308996938995746984e+00,7.787506580352783203e-01,1.000000000000000000e+00
2.166666666666666463e-01,1.361356816555576943e+00,7.909324169158935547e-01,9.999999403953552246e-01
2.250000000000000056e-01,1.413716694115406902e+00,7.795233130455017090e-01,9.999999403953552246e-01
2.333333333333333093e-01,1.466076571675236639e+00,7.632818222045898438e-01,1.000000000000000000e+00
2.416666666666666685e-01,1.518436449235066599e+00,7.465321421623229980e-01,1.000000000000000000e+00
2.500000000000000000e-01,1.570796326794896558e+00,7.292292714118957520e-01,9.999999403953552246e-01
2.583333333333333037e-01,1.623156204354726295e+00,7.114006876945495605e-01,1.000000000000000000e+00
2.666666666666666630e-01,1.675516081914556255e+00,6.930296421051025391e-01,1.000000000000000000e+00
2.750000000000000222e-01,1.727875959474386214e+00,6.741273999214172363e-01,1.000000000000000000e+00
2.833333333333333259e-01,1.780235837034215951e+00,6.547096371650695801e-01,9.999999403953552246e-01
2.916666666666666297e-01,1.832595714594045910e+00,6.347928047180175781e-01,1.000000000000000000e+00
2.999999999999999889e-01,1.884955592153875870e+00,6.143939495086669922e-01,9.999999403953552246e-01
3.083333333333332926e-01,1.937315469713705607e+00,5.935297012329101562e-01,1.000000000000000000e+00
3.166666666666666519e-01,1.989675347273535566e+00,5.722169280052185059e-01,1.000000000000000000e+00
3.250000000000000111e-01,2.042035224833365525e+00,5.504723787307739258e-01,1.000000000000000000e+00
3.333333333333333148e-01,2.094395102393195263e+00,5.283128619194030762e-01,1.000000000000000000e+00
3.416666666666666186e-01,2.146754979953025000e+00,5.057555437088012695e-01,1.000000000000000000e+00
3.499999999999999778e-01,2.199114857512855181e+00,4.828175604343414307e-01,9.999999403953552246e-01
3.583333333333333370e-01,2.251474735072684918e+00,4.595162570476531982e-01,9.999998807907104492e-01
