n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999998890e-01,9.999999999999998890e-01,9.999999999999997780e-01
1.000000000000000000e+00,6.283185307179586232e+00,-9.982438964986463104e-01,9.982438964986463104e-01,9.999999999999139577e-01
2.000000000000000000e+00,1.256637061435917246e+01,9.991828086619135574e-01,9.991828086619135574e-01,1.000000000000017764e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.993940632219189268e-01,9.993940632219189268e-01,9.999999999999399369e-01
4.000000000000000000e+00,2.513274122871834493e+01,9.978790680905401667e-01,9.978790680905401667e-01,1.000000000000043077e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.997943152726993521e-01,9.997943152726993521e-01,9.999999999999510392e-01
6.000000000000000000e+00,3.769911184307751739e+01,9.977177335546614234e-01,9.977177335546614234e-01,1.000000000000043743e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.988368171186645661e-01,9.988368171186645661e-01,9.999999999999342748e-01
8.000000000000000000e+00,5.026548245743668986e+01,9.987146796619303935e-01,9.987146796619303935e-01,1.000000000000019540e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.975695465410059359e-01,9.975695465410059359e-01,9.999999999999108491e-01
1.000000000000000000e+01,6.283185307179586232e+01,9.995423186257454962e-01,9.995423186257454962e-01,1.000000000000000444e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.975732714542960844e-01,9.975732714542960844e-01,9.999999999999098499e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.991036758697480202e-01,9.991036758697480202e-01,1.000000000000011102e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.987496728508443722e-01,9.987496728508443722e-01,9.999999999999337197e-01
1.400000000000000000e+01,8.796459430051420725e+01,9.977378884775456314e-01,9.977378884775456314e-01,1.000000000000038858e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.993553406034334508e-01,9.993553406034334508e-01,9.999999999999529265e-01
1.600000000000000000e+01,1.005309649148733797e+02,9.969896997769449598e-01,9.969896997769449598e-01,1.000000000000048628e+00
