n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999996669e-01
1.000000000000000000e+00,6.283185307179586232e+00,-9.617590447516262131e-01,9.617590447516262131e-01,1.000000000000054401e+00
2.000000000000000000e+00,1.256637061435917246e+01,8.711121549786544627e-01,8.711121549786544627e-01,1.000000000000115241e+00
3.000000000000000000e+00,1.884955592153875870e+01,-7.517572274935943044e-01,7.517572274935943044e-01,1.000000000000061284e+00
4.000000000000000000e+00,2.513274122871834493e+01,6.426236333354515828e-01,6.426236333354515828e-01,1.000000000000070388e+00
5.000000000000000000e+00,3.141592653589793116e+01,-5.505684120314918717e-01,5.505684120314918717e-01,9.999999999999913403e-01
6.000000000000000000e+00,3.769911184307751739e+01,4.791332876871791102e-01,4.791332876871791102e-01,1.000000000000028200e+00
7.000000000000000000e+00,4.398229715025710362e+01,-4.257756100796474263e-01,4.257756100796474263e-01,1.000000000000006217e+00
8.000000000000000000e+00,5.026548245743668986e+01,3.845511197498736045e-01,3.845511197498736045e-01,1.000000000000070388e+00
9.000000000000000000e+00,5.654866776461627609e+01,-3.518898190517043556e-01,3.518898190517043556e-01,1.000000000000061284e+00
1.000000000000000000e+01,6.283185307179586232e+01,3.219628825632968594e-01,3.219628825632968594e-01,1.000000000000089262e+00
1.100000000000000000e+01,6.911503837897544145e+01,-2.935832835090512183e-01,2.935832835090512183e-01,1.000000000000046629e+00
1.200000000000000000e+01,7.539822368615503478e+01,2.658847991089534624e-01,2.658847991089534624e-01,1.000000000000047518e+00
1.300000000000000000e+01,8.168140899333462812e+01,-2.463159073517360020e-01,2.463159073517360020e-01,1.000000000000012657e+00
1.400000000000000000e+01,8.796459430051420725e+01,2.377019022137036863e-01,2.377019022137036863e-01,1.000000000000015765e+00
1.500000000000000000e+01,9.424777960769378637e+01,-2.457280805254815625e-01,2.457280805254815625e-01,1.000000000000015765e+00
1.600000000000000000e+01,1.005309649148733797e+02,2.708607537042070912e-01,2.708607537042070912e-01,1.000000000000028644e+00
1.700000000000000000e+01,1.068141502220529730e+02,-3.092040704137484219e-01,3.092040704137484219e-01,1.000000000000041966e+00
1.800000000000000000e+01,1.130973355292325522e+02,3.563703144536423117e-01,3.563703144536423117e-01,1.000000000000033751e+00
1.900000000000000000e+01,1.193805208364121313e+02,-4.047080451121983780e-01,4.047080451121983780e-01,1.000000000000042855e+00
2.000000000000000000e+01,1.256637061435917246e+02,4.510218952462942688e-01,4.510218952462942688e-01,1.000000000000002442e+00
2.100000000000000000e+01,1.319468914507713180e+02,-4.904674345808045510e-01,4.904674345808045510e-01,1.000000000000006217e+00
2.200000000000000000e+01,1.382300767579508829e+02,5.263621427031055511e-01,5.263621427031055511e-01,9.999999999999814593e-01
2.300000000000000000e+01,1.445132620651304762e+02,-5.652693038832413697e-01,5.652693038832413697e-01,9.999999999999575895e-01
2.400000000000000000e+01,1.507964473723100696e+02,6.114834415201306772e-01,6.114834415201306772e-01,9.999999999999524825e-01
2.500000000000000000e+01,1.570796326794896629e+02,-6.588744492356456428e-01,6.588744492356456428e-01,9.999999999999581446e-01
2.600000000000000000e+01,1.633628179866692562e+02,6.828809776363130579e-01,6.828809776363130579e-01,1.000000000000004885e+00
2.700000000000000000e+01,1.696460032938488212e+02,-6.732459966819370756e-01,6.732459966819370756e-01,1.000000000000042188e+00
2.800000000000000000e+01,1.759291886010284145e+02,6.345276475680984296e-01,6.345276475680984296e-01,1.000000000000092815e+00
