sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999403953552246e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,9.197240471839904785e-01,3.925659358501434326e-01
2.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,7.070878148078918457e-01,7.071264386177062988e-01
3.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,3.926155865192413330e-01,9.197034835815429688e-01
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.489600880537182093e-05,1.000000596046447754e+00
5.000000000000000000e+00,1.250000000000000000e+00,2.500000000000000000e-01,3.925165235996246338e-01,9.197456240653991699e-01
6.000000000000000000e+00,1.500000000000000000e+00,5.000000000000000000e-01,7.071656584739685059e-01,7.070491909980773926e-01
7.000000000000000000e+00,1.750000000000000000e+00,7.500000000000000000e-01,9.196826219558715820e-01,3.926654458045959473e-01
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000001192092895508e+00,1.099070941563695669e-04
9.000000000000000000e+00,2.250000000000000000e+00,2.500000000000000000e-01,9.197675585746765137e-01,3.924668729305267334e-01
1.000000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e-01,7.070105671882629395e-01,7.072051167488098145e-01
1.100000000000000000e+01,2.750000000000000000e+00,7.500000000000000000e-01,3.927154839038848877e-01,9.196619987487792969e-01
1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.651652419241145253e-04,1.000001549720764160e+00
1.300000000000000000e+01,3.250000000000000000e+00,2.500000000000000000e-01,3.924171626567840576e-01,9.197891950607299805e-01
1.400000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e-01,7.072445750236511230e-01,7.069714069366455078e-01
1.500000000000000000e+01,3.750000000000000000e+00,7.500000000000000000e-01,9.196405410766601562e-01,3.927657902240753174e-01
1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000001907348632812e+00,2.204578195232897997e-04
1.700000000000000000e+01,4.250000000000000000e+00,2.500000000000000000e-01,9.198107719421386719e-01,3.923678994178771973e-01
1.800000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e-01,7.069331407546997070e-01,7.072843313217163086e-01
1.900000000000000000e+01,4.750000000000000000e+00,7.500000000000000000e-01,3.928161263465881348e-01,9.196203351020812988e-01
2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.758804184850305319e-04,1.000002980232238770e+00
2.100000000000000000e+01,5.250000000000000000e+00,2.500000000000000000e-01,3.923180997371673584e-01,9.198328852653503418e-01
2.200000000000000000e+01,5.500000000000000000e+00,5.000000000000000000e-01,7.073246836662292480e-01,7.068936228752136230e-01
2.300000000000000000e+01,5.750000000000000000e+00,7.500000000000000000e-01,9.196002483367919922e-01,3.928654789924621582e-01
2.400000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.000003933906555176e+00,3.314559289719909430e-04
2.500000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e-01,9.198545813560485840e-01,3.922687172889709473e-01
2.600000000000000000e+01,6.500000000000000000e+00,5.000000000000000000e-01,7.068566083908081055e-01,7.073626518249511719e-01
2.700000000000000000e+01,6.750000000000000000e+00,7.500000000000000000e-01,3.929181396961212158e-01,9.195782542228698730e-01
2.800000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,3.872785891871899366e-04,1.000004529953002930e+00
2.900000000000000000e+01,7.250000000000000000e+00,2.500000000000000000e-01,3.922170698642730713e-01,9.198777079582214355e-01
3.000000000000000000e+01,7.500000000000000000e+00,5.000000000000000000e-01,7.074018120765686035e-01,7.068188190460205078e-01
3.100000000000000000e+01,7.750000000000000000e+00,7.500000000000000000e-01,9.195606112480163574e-01,3.929623365402221680e-01
3.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.000005722045898438e+00,4.379630845505744219e-04
3.300000000000000000e+01,8.250000000000000000e+00,2.500000000000000000e-01,9.198973774909973145e-01,3.921740651130676270e-01
3.400000000000000000e+01,8.500000000000000000e+00,5.000000000000000000e-01,7.067806124687194824e-01,7.074412703514099121e-01
3.500000000000000000e+01,8.750000000000000000e+00,7.500000000000000000e-01,3.930139243602752686e-01,9.195393919944763184e-01
3.600000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,4.940091748721897602e-04,1.000006318092346191e+00
3.700000000000000000e+01,9.250000000000000000e+00,2.500000000000000000e-01,3.921221792697906494e-01,9.199204444885253906e-01
3.800000000000000000e+01,9.500000000000000000e+00,5.000000000000000000e-01,7.074801325798034668e-01,7.067434787750244141e-01
3.900000000000000000e+01,9.750000000000000000e+00,7.500000000000000000e-01,9.195187687873840332e-01,3.930650651454925537e-01
4.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000007390975952148e+00,5.502938292920589447e-04
4.100000000000000000e+01,1.025000000000000000e+01,2.500000000000000000e-01,9.199426770210266113e-01,3.920717537403106689e-01
4.200000000000000000e+01,1.050000000000000000e+01,5.000000000000000000e-01,7.067013382911682129e-01,7.075228691101074219e-01
4.300000000000000000e+01,1.075000000000000000e+01,7.500000000000000000e-01,3.931184411048889160e-01,9.194965362548828125e-01
4.400000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,6.090104579925537109e-04,1.000007987022399902e+00
4.500000000000000000e+01,1.125000000000000000e+01,2.500000000000000000e-01,3.920200467109680176e-01,9.199658632278442383e-01
4.600000000000000000e+01,1.150000000000000000e+01,5.000000000000000000e-01,7.075614929199218750e-01,7.066642642021179199e-01
4.700000000000000000e+01,1.175000000000000000e+01,7.500000000000000000e-01,9.194764494895935059e-01,3.931684494018554688e-01
4.800000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,1.000008821487426758e+00,6.630658754147589207e-04
4.900000000000000000e+01,1.225000000000000000e+01,2.500000000000000000e-01,9.199872016906738281e-01,3.919710516929626465e-01
5.000000000000000000e+01,1.250000000000000000e+01,5.000000000000000000e-01,7.066254615783691406e-01,7.076013088226318359e-01
5.100000000000000000e+01,1.275000000000000000e+01,7.500000000000000000e-01,3.932138383388519287e-01,9.194580912590026855e-01
5.200000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,7.142062531784176826e-04,1.000009775161743164e+00
5.300000000000000000e+01,1.325000000000000000e+01,2.500000000000000000e-01,3.919263780117034912e-01,9.200074672698974609e-01
5.400000000000000000e+01,1.350000000000000000e+01,5.000000000000000000e-01,7.076403498649597168e-01,7.065877914428710938e-01
5.500000000000000000e+01,1.375000000000000000e+01,7.500000000000000000e-01,9.194362163543701172e-01,3.932673335075378418e-01
5.600000000000000000e+01,1.400000000000000000e+01,0.000000000000000000e+00,1.000010609626770020e+00,7.718668784946203232e-04
5.700000000000000000e+01,1.425000000000000000e+01,2.500000000000000000e-01,9.200309514999389648e-01,3.918732106685638428e-01
5.800000000000000000e+01,1.450000000000000000e+01,5.000000000000000000e-01,7.065505385398864746e-01,7.076780796051025391e-01
5.900000000000000000e+01,1.475000000000000000e+01,7.500000000000000000e-01,3.933156132698059082e-01,9.194157719612121582e-01
6.000000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,8.261501789093017578e-04,1.000010967254638672e+00
6.100000000000000000e+01,1.525000000000000000e+01,2.500000000000000000e-01,3.918252885341644287e-01,9.200518131256103516e-01
6.200000000000000000e+01,1.550000000000000000e+01,5.000000000000000000e-01,7.077180147171020508e-01,7.065110802650451660e-01
6.300000000000000000e+01,1.575000000000000000e+01,7.500000000000000000e-01,9.193962812423706055e-01,3.933626711368560791e-01
6.400000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.000011801719665527e+00,8.782722288742661476e-04
6.500000000000000000e+01,1.625000000000000000e+01,2.500000000000000000e-01,9.200728535652160645e-01,3.917783796787261963e-01
6.600000000000000000e+01,1.650000000000000000e+01,5.000000000000000000e-01,7.064731717109680176e-01,7.077577114105224609e-01
6.700000000000000000e+01,1.675000000000000000e+01,7.500000000000000000e-01,3.934153318405151367e-01,9.193751215934753418e-01
6.800000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,9.357632370665669441e-04,1.000012636184692383e+00
6.900000000000000000e+01,1.725000000000000000e+01,2.500000000000000000e-01,3.917270004749298096e-01,9.200955629348754883e-01
7.000000000000000000e+01,1.750000000000000000e+01,5.000000000000000000e-01,7.077955603599548340e-01,7.064364552497863770e-01
7.100000000000000000e+01,1.775000000000000000e+01,7.500000000000000000e-01,9.193545579910278320e-01,3.934652209281921387e-01
7.200000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,1.000013351440429688e+00,9.902163874357938766e-04
7.300000000000000000e+01,1.825000000000000000e+01,2.500000000000000000e-01,9.201177358627319336e-01,3.916770815849304199e-01
7.400000000000000000e+01,1.850000000000000000e+01,5.000000000000000000e-01,7.063966989517211914e-01,7.078364491462707520e-01
7.500000000000000000e+01,1.875000000000000000e+01,7.500000000000000000e-01,3.935114145278930664e-01,9.193359613418579102e-01
7.600000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.041845767758786678e-03,1.000014662742614746e+00
7.700000000000000000e+01,1.925000000000000000e+01,2.500000000000000000e-01,3.916327655315399170e-01,9.201382398605346680e-01
7.800000000000000000e+01,1.950000000000000000e+01,5.000000000000000000e-01,7.078753113746643066e-01,7.063595056533813477e-01
7.900000000000000000e+01,1.975000000000000000e+01,7.500000000000000000e-01,9.193141460418701172e-01,3.935649693012237549e-01
8.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000015497207641602e+00,1.099656336009502411e-03
8.100000000000000000e+01,2.025000000000000000e+01,2.500000000000000000e-01,9.201620221138000488e-01,3.915795981884002686e-01
8.200000000000000000e+01,2.050000000000000000e+01,5.000000000000000000e-01,7.063205242156982422e-01,7.079157233238220215e-01
8.300000000000000000e+01,2.075000000000000000e+01,7.500000000000000000e-01,3.936161100864410400e-01,9.192935228347778320e-01
8.400000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.157943042926490307e-03,1.000016450881958008e+00
8.500000000000000000e+01,2.125000000000000000e+01,2.500000000000000000e-01,3.915258646011352539e-01,9.201855659484863281e-01
8.600000000000000000e+01,2.150000000000000000e+01,5.000000000000000000e-01,7.079577445983886719e-01,7.062794566154479980e-01
8.700000000000000000e+01,2.175000000000000000e+01,7.500000000000000000e-01,9.192732572555541992e-01,3.936653733253479004e-01
8.800000000000000000e+01,2.200000000000000000e+01,0.000000000000000000e+00,1.000017166137695312e+00,1.213156152516603470e-03
8.900000000000000000e+01,2.225000000000000000e+01,2.500000000000000000e-01,9.202075600624084473e-01,3.914770185947418213e-01
9.000000000000000000e+01,2.250000000000000000e+01,5.000000000000000000e-01,7.062385678291320801e-01,7.080004215240478516e-01
