sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999403953552246e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,9.281771779060363770e-01,3.721389472484588623e-01
2.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,6.571891307830810547e-01,7.537263631820678711e-01
3.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,4.697049856185913086e-01,8.828241825103759766e-01
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.362061500549316406e-01,9.906812310218811035e-01
5.000000000000000000e+00,1.250000000000000000e+00,2.500000000000000000e-01,2.884089052677154541e-01,9.575080275535583496e-01
6.000000000000000000e+00,1.500000000000000000e+00,5.000000000000000000e-01,8.362157940864562988e-01,5.484027266502380371e-01
7.000000000000000000e+00,1.750000000000000000e+00,7.500000000000000000e-01,8.225036859512329102e-01,5.687624216079711914e-01
8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.628971815109252930e-01,2.698737680912017822e-01
9.000000000000000000e+00,2.250000000000000000e+00,2.500000000000000000e-01,9.701542854309082031e-01,2.424941658973693848e-01
1.000000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e-01,4.293945431709289551e-01,9.031189680099487305e-01
1.100000000000000000e+01,2.750000000000000000e+00,7.500000000000000000e-01,6.629161238670349121e-01,7.486966848373413086e-01
1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.985115885734558105e-01,9.171656966209411621e-01
1.300000000000000000e+01,3.250000000000000000e+00,2.500000000000000000e-01,2.591671347618103027e-01,9.658350944519042969e-01
1.400000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e-01,9.531896710395812988e-01,3.023824095726013184e-01
1.500000000000000000e+01,3.750000000000000000e+00,7.500000000000000000e-01,6.633917093276977539e-01,7.482766509056091309e-01
1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,8.543393611907958984e-01,5.197218656539916992e-01
1.700000000000000000e+01,4.250000000000000000e+00,2.500000000000000000e-01,9.446448683738708496e-01,3.281045258045196533e-01
1.800000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e-01,1.697339564561843872e-01,9.854936003684997559e-01
1.900000000000000000e+01,4.750000000000000000e+00,7.500000000000000000e-01,8.221516013145446777e-01,5.692753195762634277e-01
2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,6.312454938888549805e-01,7.755882143974304199e-01
2.100000000000000000e+01,5.250000000000000000e+00,2.500000000000000000e-01,4.210136532783508301e-01,9.070590734481811523e-01
2.200000000000000000e+01,5.500000000000000000e+00,5.000000000000000000e-01,9.994294047355651855e-01,3.392001241445541382e-02
2.300000000000000000e+01,5.750000000000000000e+00,7.500000000000000000e-01,4.702309668064117432e-01,8.825491666793823242e-01
2.400000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,6.823804974555969238e-01,7.310042977333068848e-01
2.500000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e-01,8.539344072341918945e-01,5.203903913497924805e-01
2.600000000000000000e+01,6.500000000000000000e+00,5.000000000000000000e-01,1.025237366557121277e-01,9.947361350059509277e-01
2.700000000000000000e+01,6.750000000000000000e+00,7.500000000000000000e-01,9.279860258102416992e-01,3.726301491260528564e-01
2.800000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,8.171375989913940430e-01,5.764528512954711914e-01
2.900000000000000000e+01,7.250000000000000000e+00,2.500000000000000000e-01,6.175501942634582520e-01,7.865390181541442871e-01
3.000000000000000000e+01,7.500000000000000000e+00,5.000000000000000000e-01,9.715024828910827637e-01,2.370573431253433228e-01
3.100000000000000000e+01,7.750000000000000000e+00,7.500000000000000000e-01,2.887796759605407715e-01,9.574030041694641113e-01
3.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,4.597862362861633301e-01,8.880379796028137207e-01
3.300000000000000000e+01,8.250000000000000000e+00,2.500000000000000000e-01,7.066013216972351074e-01,7.076222300529479980e-01
3.400000000000000000e+01,8.500000000000000000e+00,5.000000000000000000e-01,3.671727478504180908e-01,9.301611781120300293e-01
3.500000000000000000e+01,8.750000000000000000e+00,7.500000000000000000e-01,9.701395630836486816e-01,2.425814568996429443e-01
3.600000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,9.423887729644775391e-01,3.345441520214080811e-01
3.700000000000000000e+01,9.250000000000000000e+00,2.500000000000000000e-01,7.874270677566528320e-01,6.164211630821228027e-01
3.800000000000000000e+01,9.500000000000000000e+00,5.000000000000000000e-01,8.714824914932250977e-01,4.904445111751556396e-01
3.900000000000000000e+01,9.750000000000000000e+00,7.500000000000000000e-01,2.589238584041595459e-01,9.659070968627929688e-01
4.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.030649483203887939e-01,9.791746139526367188e-01
4.100000000000000000e+01,1.025000000000000000e+01,2.500000000000000000e-01,5.191974639892578125e-01,8.546649813652038574e-01
4.200000000000000000e+01,1.050000000000000000e+01,5.000000000000000000e-01,6.045799851417541504e-01,7.965564727783203125e-01
4.300000000000000000e+01,1.075000000000000000e+01,7.500000000000000000e-01,9.448065161705017090e-01,3.276591002941131592e-01
4.400000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,9.977090358734130859e-01,6.779907643795013428e-02
4.500000000000000000e+01,1.125000000000000000e+01,2.500000000000000000e-01,9.076082110404968262e-01,4.198419451713562012e-01
4.600000000000000000e+01,1.150000000000000000e+01,5.000000000000000000e-01,7.067868113517761230e-01,7.074416875839233398e-01
4.700000000000000000e+01,1.175000000000000000e+01,7.500000000000000000e-01,4.205115735530853271e-01,9.072992205619812012e-01
4.800000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,6.872553378343582153e-02,9.976463913917541504e-01
4.900000000000000000e+01,1.225000000000000000e+01,2.500000000000000000e-01,3.270802199840545654e-01,9.450080394744873047e-01
5.000000000000000000e+01,1.250000000000000000e+01,5.000000000000000000e-01,7.971177697181701660e-01,6.038426756858825684e-01
5.100000000000000000e+01,1.275000000000000000e+01,7.500000000000000000e-01,8.542624115943908691e-01,5.198642015457153320e-01
5.200000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,9.789898395538330078e-01,2.039662897586822510e-01
5.300000000000000000e+01,1.325000000000000000e+01,2.500000000000000000e-01,9.659926891326904297e-01,2.586150467395782471e-01
5.400000000000000000e+01,1.350000000000000000e+01,5.000000000000000000e-01,4.896442592144012451e-01,8.719360232353210449e-01
5.500000000000000000e+01,1.375000000000000000e+01,7.500000000000000000e-01,6.170625686645507812e-01,7.869296073913574219e-01
5.600000000000000000e+01,1.400000000000000000e+01,0.000000000000000000e+00,3.354127407073974609e-01,9.420843124389648438e-01
5.700000000000000000e+01,1.425000000000000000e+01,2.500000000000000000e-01,2.426900714635848999e-01,9.701167345046997070e-01
5.800000000000000000e+01,1.450000000000000000e+01,5.000000000000000000e-01,9.305031299591064453e-01,3.663197457790374756e-01
5.900000000000000000e+01,1.475000000000000000e+01,7.500000000000000000e-01,7.070555090904235840e-01,7.071770429611206055e-01
6.000000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,8.876207470893859863e-01,4.606041610240936279e-01
6.100000000000000000e+01,1.525000000000000000e+01,2.500000000000000000e-01,9.572644233703613281e-01,2.892606556415557861e-01
6.200000000000000000e+01,1.550000000000000000e+01,5.000000000000000000e-01,2.361657023429870605e-01,9.717268943786621094e-01
6.300000000000000000e+01,1.575000000000000000e+01,7.500000000000000000e-01,7.870453000068664551e-01,6.169180870056152344e-01
6.400000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,5.772081613540649414e-01,8.166146874427795410e-01
6.500000000000000000e+01,1.625000000000000000e+01,2.500000000000000000e-01,3.732577264308929443e-01,9.277430176734924316e-01
6.600000000000000000e+01,1.650000000000000000e+01,5.000000000000000000e-01,9.948388934135437012e-01,1.016104221343994141e-01
6.700000000000000000e+01,1.675000000000000000e+01,7.500000000000000000e-01,5.197303891181945801e-01,8.543480038642883301e-01
6.800000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,7.303833961486816406e-01,6.830596923828125000e-01
6.900000000000000000e+01,1.725000000000000000e+01,2.500000000000000000e-01,8.821983337402343750e-01,4.709106385707855225e-01
7.000000000000000000e+01,1.750000000000000000e+01,5.000000000000000000e-01,3.483853489160537720e-02,9.994086623191833496e-01
7.100000000000000000e+01,1.775000000000000000e+01,7.500000000000000000e-01,9.073771834373474121e-01,4.203550815582275391e-01
7.200000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,7.761769294738769531e-01,6.305402517318725586e-01
7.300000000000000000e+01,1.825000000000000000e+01,2.500000000000000000e-01,5.699341297149658203e-01,8.217097520828247070e-01
7.400000000000000000e+01,1.850000000000000000e+01,5.000000000000000000e-01,9.853498935699462891e-01,1.706406623125076294e-01
7.500000000000000000e+01,1.875000000000000000e+01,7.500000000000000000e-01,3.275459706783294678e-01,9.448530673980712891e-01
7.600000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,5.189480781555175781e-01,8.548258543014526367e-01
7.700000000000000000e+01,1.925000000000000000e+01,2.500000000000000000e-01,7.477497458457946777e-01,6.640062332153320312e-01
7.800000000000000000e+01,1.950000000000000000e+01,5.000000000000000000e-01,3.032605051994323730e-01,9.529259204864501953e-01
7.900000000000000000e+01,1.975000000000000000e+01,7.500000000000000000e-01,9.659374952316284180e-01,2.588443160057067871e-01
8.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,9.175451397895812988e-01,3.976760804653167725e-01
8.100000000000000000e+01,2.025000000000000000e+01,2.500000000000000000e-01,7.492417693138122559e-01,6.623231172561645508e-01
8.200000000000000000e+01,2.050000000000000000e+01,5.000000000000000000e-01,9.027383327484130859e-01,4.302313625812530518e-01
8.300000000000000000e+01,2.075000000000000000e+01,7.500000000000000000e-01,2.426259815692901611e-01,9.701385498046875000e-01
8.400000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,2.689926028251647949e-01,9.631612300872802734e-01
8.500000000000000000e+01,2.125000000000000000e+01,2.500000000000000000e-01,5.681083798408508301e-01,8.229758739471435547e-01
8.600000000000000000e+01,2.150000000000000000e+01,5.000000000000000000e-01,5.491807460784912109e-01,8.357256650924682617e-01
