t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999403953552246e-01,9.999999403953552246e-01
1.250000000000000069e-02,7.853981633974482790e-02,9.999997019767761230e-01,9.999997019767761230e-01,9.999999403953552246e-01,9.999999403953552246e-01
2.500000000000000139e-02,1.570796326794896558e-01,9.999792575836181641e-01,9.999790787696838379e-01,9.999998807907104492e-01,9.999999403953552246e-01
3.749999999999999861e-02,2.356194490192344837e-01,9.997646808624267578e-01,9.997646212577819824e-01,9.999998211860656738e-01,1.000000000000000000e+00
5.000000000000000278e-02,3.141592653589793116e-01,9.986981749534606934e-01,9.986981749534606934e-01,9.999999403953552246e-01,9.999999403953552246e-01
6.250000000000000000e-02,3.926990816987241395e-01,9.951788187026977539e-01,9.951786994934082031e-01,9.999999403953552246e-01,1.000000000000000000e+00
7.499999999999999722e-02,4.712388980384689674e-01,9.863129258155822754e-01,9.863127470016479492e-01,9.999999403953552246e-01,1.000000000000000000e+00
8.749999999999999445e-02,5.497787143782137953e-01,9.681506156921386719e-01,9.681502580642700195e-01,9.999999403953552246e-01,9.999999403953552246e-01
1.000000000000000056e-01,6.283185307179586232e-01,9.371339678764343262e-01,9.371332526206970215e-01,9.999998807907104492e-01,9.999999403953552246e-01
1.125000000000000028e-01,7.068583470577034511e-01,8.931072354316711426e-01,8.931064009666442871e-01,9.999999403953552246e-01,1.000000000000000000e+00
1.250000000000000000e-01,7.853981633974482790e-01,8.430910110473632812e-01,8.430906534194946289e-01,1.000000000000000000e+00,9.999999403953552246e-01
1.375000000000000111e-01,8.639379797371931069e-01,8.030276298522949219e-01,8.030284643173217773e-01,9.999999403953552246e-01,1.000000000000000000e+00
1.499999999999999944e-01,9.424777960769379348e-01,7.931760549545288086e-01,7.931788563728332520e-01,1.000000000000000000e+00,9.999999403953552246e-01
1.625000000000000056e-01,1.021017612416682763e+00,8.246514201164245605e-01,8.246559500694274902e-01,9.999999403953552246e-01,1.000000000000000000e+00
1.749999999999999889e-01,1.099557428756427591e+00,8.822612166404724121e-01,8.822658061981201172e-01,1.000000000000000000e+00,9.999999403953552246e-01
1.875000000000000000e-01,1.178097245096172418e+00,9.195057749748229980e-01,9.195076227188110352e-01,1.000000000000000000e+00,9.999998807907104492e-01
2.000000000000000111e-01,1.256637061435917246e+00,8.834258317947387695e-01,8.834236860275268555e-01,1.000000000000000000e+00,9.999998211860656738e-01
2.124999999999999944e-01,1.335176877775662074e+00,7.655212283134460449e-01,7.655172944068908691e-01,1.000000000000000000e+00,9.999997615814208984e-01
2.250000000000000056e-01,1.413716694115406902e+00,6.355394721031188965e-01,6.355386376380920410e-01,1.000000000000000000e+00,9.999997019767761230e-01
2.374999999999999889e-01,1.492256510455151730e+00,6.004288792610168457e-01,6.004330515861511230e-01,1.000000119209289551e+00,9.999995231628417969e-01
2.500000000000000000e-01,1.570796326794896558e+00,6.917840838432312012e-01,6.917900443077087402e-01,1.000000119209289551e+00,9.999993443489074707e-01
2.625000000000000111e-01,1.649336143134641386e+00,7.947925329208374023e-01,7.947952151298522949e-01,1.000000119209289551e+00,9.999991059303283691e-01
2.750000000000000222e-01,1.727875959474386214e+00,7.472156286239624023e-01,7.472150325775146484e-01,1.000000119209289551e+00,9.999988079071044922e-01
2.874999999999999778e-01,1.806415775814131042e+00,5.503128767013549805e-01,5.503137111663818359e-01,1.000000238418579102e+00,9.999984502792358398e-01
2.999999999999999889e-01,1.884955592153875870e+00,4.169346988201141357e-01,4.169364869594573975e-01,1.000000238418579102e+00,9.999980330467224121e-01
3.125000000000000000e-01,1.963495408493620697e+00,5.064685344696044922e-01,5.064660906791687012e-01,1.000000238418579102e+00,9.999974966049194336e-01
3.250000000000000111e-01,2.042035224833365525e+00,6.600434780120849609e-01,6.600410938262939453e-01,1.000000357627868652e+00,9.999969005584716797e-01
3.375000000000000222e-01,2.120575041173110353e+00,5.884854793548583984e-01,5.884950160980224609e-01,1.000000238418579102e+00,9.999961256980895996e-01
3.499999999999999778e-01,2.199114857512855181e+00,3.336801528930664062e-01,3.336937427520751953e-01,1.000000357627868652e+00,9.999954104423522949e-01
3.624999999999999889e-01,2.277654673852600009e+00,2.563017904758453369e-01,2.562929987907409668e-01,1.000000238418579102e+00,9.999946355819702148e-01
3.750000000000000000e-01,2.356194490192344837e+00,4.450898766517639160e-01,4.450665712356567383e-01,1.000000238418579102e+00,9.999936223030090332e-01
3.875000000000000111e-01,2.434734306532089665e+00,5.154224634170532227e-01,5.154321193695068359e-01,1.000000357627868652e+00,9.999926090240478516e-01
