t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999403953552246e-01,9.999999403953552246e-01
1.250000000000000069e-02,7.853981633974482790e-02,9.999996423721313477e-01,9.999996423721313477e-01,9.999999403953552246e-01,9.999999403953552246e-01
2.500000000000000139e-02,1.570796326794896558e-01,9.999783039093017578e-01,9.999783635139465332e-01,9.999999403953552246e-01,9.999999403953552246e-01
3.749999999999999861e-02,2.356194490192344837e-01,9.997553825378417969e-01,9.997555017471313477e-01,1.000000000000000000e+00,9.999998807907104492e-01
5.000000000000000278e-02,3.141592653589793116e-01,9.986481070518493652e-01,9.986480474472045898e-01,1.000000000000000000e+00,9.999998807907104492e-01
6.250000000000000000e-02,3.926990816987241395e-01,9.949977993965148926e-01,9.949977993965148926e-01,1.000000000000000000e+00,9.999999403953552246e-01
7.499999999999999722e-02,4.712388980384689674e-01,9.858237504959106445e-01,9.858236312866210938e-01,1.000000000000000000e+00,9.999998807907104492e-01
8.749999999999999445e-02,5.497787143782137953e-01,9.671075940132141113e-01,9.671071767807006836e-01,1.000000000000000000e+00,9.999998211860656738e-01
1.000000000000000056e-01,6.283185307179586232e-01,9.353694319725036621e-01,9.353687763214111328e-01,1.000000000000000000e+00,9.999998211860656738e-01
1.125000000000000028e-01,7.068583470577034511e-01,8.908599615097045898e-01,8.908591866493225098e-01,1.000000000000000000e+00,9.999998807907104492e-01
1.250000000000000000e-01,7.853981633974482790e-01,8.414142727851867676e-01,8.414139747619628906e-01,9.999999403953552246e-01,9.999998807907104492e-01
1.375000000000000111e-01,8.639379797371931069e-01,8.038758039474487305e-01,8.038768172264099121e-01,1.000000000000000000e+00,9.999998807907104492e-01
1.499999999999999944e-01,9.424777960769379348e-01,7.985307574272155762e-01,7.985337376594543457e-01,9.999999403953552246e-01,9.999998807907104492e-01
1.625000000000000056e-01,1.021017612416682763e+00,8.344126343727111816e-01,8.344172239303588867e-01,1.000000000000000000e+00,9.999998211860656738e-01
1.749999999999999889e-01,1.099557428756427591e+00,8.920498490333557129e-01,8.920540809631347656e-01,1.000000000000000000e+00,9.999997615814208984e-01
1.875000000000000000e-01,1.178097245096172418e+00,9.213253259658813477e-01,9.213266968727111816e-01,1.000000000000000000e+00,9.999996423721313477e-01
2.000000000000000111e-01,1.256637061435917246e+00,8.717406392097473145e-01,8.717382550239562988e-01,1.000000000000000000e+00,9.999996423721313477e-01
2.124999999999999944e-01,1.335176877775662074e+00,7.460383176803588867e-01,7.460347414016723633e-01,1.000000119209289551e+00,9.999995231628417969e-01
2.250000000000000056e-01,1.413716694115406902e+00,6.264372467994689941e-01,6.264370083808898926e-01,1.000000119209289551e+00,9.999994039535522461e-01
2.374999999999999889e-01,1.492256510455151730e+00,6.168503165245056152e-01,6.168549060821533203e-01,1.000000119209289551e+00,9.999992847442626953e-01
2.500000000000000000e-01,1.570796326794896558e+00,7.230253219604492188e-01,7.230308651924133301e-01,1.000000119209289551e+00,9.999991655349731445e-01
2.625000000000000111e-01,1.649336143134641386e+00,8.049668073654174805e-01,8.049688935279846191e-01,1.000000119209289551e+00,9.999989867210388184e-01
2.750000000000000222e-01,1.727875959474386214e+00,7.159782648086547852e-01,7.159780859947204590e-01,1.000000238418579102e+00,9.999986290931701660e-01
2.874999999999999778e-01,1.806415775814131042e+00,5.120795369148254395e-01,5.120804905891418457e-01,1.000000238418579102e+00,9.999982714653015137e-01
2.999999999999999889e-01,1.884955592153875870e+00,4.291346967220306396e-01,4.291350841522216797e-01,1.000000238418579102e+00,9.999977946281433105e-01
3.125000000000000000e-01,1.963495408493620697e+00,5.623791217803955078e-01,5.623756051063537598e-01,1.000000238418579102e+00,9.999971985816955566e-01
3.250000000000000111e-01,2.042035224833365525e+00,6.766591668128967285e-01,6.766597628593444824e-01,1.000000238418579102e+00,9.999966025352478027e-01
3.375000000000000222e-01,2.120575041173110353e+00,5.289714336395263672e-01,5.289846062660217285e-01,1.000000119209289551e+00,9.999957680702209473e-01
3.499999999999999778e-01,2.199114857512855181e+00,2.896139323711395264e-01,2.896223664283752441e-01,1.000000238418579102e+00,9.999949336051940918e-01
3.624999999999999889e-01,2.277654673852600009e+00,3.120288550853729248e-01,3.120110929012298584e-01,1.000000238418579102e+00,9.999939203262329102e-01
3.750000000000000000e-01,2.356194490192344837e+00,5.130429267883300781e-01,5.130261182785034180e-01,1.000000357627868652e+00,9.999929070472717285e-01
3.875000000000000111e-01,2.434734306532089665e+00,4.665697515010833740e-01,4.665956795215606689e-01,1.000000238418579102e+00,9.999917149543762207e-01
4.000000000000000222e-01,2.513274122871834493e+00,1.782749742269515991e-01,1.783063262701034546e-01,1.000000238418579102e+00,9.999904632568359375e-01
4.124999999999999778e-01,2.591813939211579321e+00,1.230767741799354553e-01,1.230450645089149475e-01,1.000000357627868652e+00,9.999890923500061035e-01
4.249999999999999889e-01,2.670353755551324149e+00,3.475784063339233398e-01,3.475342988967895508e-01,1.000000357627868652e+00,9.999876022338867188e-01
4.375000000000000000e-01,2.748893571891068976e+00,3.401863873004913330e-01,3.402286767959594727e-01,1.000000357627868652e+00,9.999859929084777832e-01
4.500000000000000111e-01,2.827433388230813804e+00,3.273718431591987610e-02,3.279594331979751587e-02,1.000000357627868652e+00,9.999843835830688477e-01
4.625000000000000222e-01,2.905973204570558632e+00,-3.303692862391471863e-02,-3.309113532304763794e-02,1.000000357627868652e+00,9.999827742576599121e-01
4.749999999999999778e-01,2.984513020910303460e+00,2.043517529964447021e-01,2.042815089225769043e-01,1.000000357627868652e+00,9.999809265136718750e-01
4.874999999999999889e-01,3.063052837250048288e+00,1.810649782419204712e-01,1.811355799436569214e-01,1.000000476837158203e+00,9.999791383743286133e-01
5.000000000000000000e-01,3.141592653589793116e+00,-1.362057924270629883e-01,-1.361258178949356079e-01,1.000000476837158203e+00,9.999774098396301270e-01
5.124999999999999556e-01,3.220132469929537944e+00,-1.727507114410400391e-01,-1.728391647338867188e-01,1.000000476837158203e+00,9.999756217002868652e-01
5.250000000000000222e-01,3.298672286269282772e+00,6.675511598587036133e-02,6.666773557662963867e-02,1.000000476837158203e+00,9.999738335609436035e-01
5.374999999999999778e-01,3.377212102609027600e+00,1.094738580286502838e-02,1.105278637260198593e-02,1.000000596046447754e+00,9.999722242355346680e-01
5.500000000000000444e-01,3.455751918948772428e+00,-3.005247712135314941e-01,-3.004311323165893555e-01,1.000000596046447754e+00,9.999706149101257324e-01
5.625000000000000000e-01,3.534291735288517255e+00,-3.126378655433654785e-01,-3.127579092979431152e-01,1.000000596046447754e+00,9.999688863754272461e-01
5.749999999999999556e-01,3.612831551628262083e+00,-8.391944319009780884e-02,-8.402314037084579468e-02,1.000000596046447754e+00,9.999673366546630859e-01
5.875000000000000222e-01,3.691371367968006911e+00,-1.428833156824111938e-01,-1.427575200796127319e-01,1.000000596046447754e+00,9.999659061431884766e-01
5.999999999999999778e-01,3.769911184307751739e+00,-4.372010231018066406e-01,-4.370837509632110596e-01,1.000000715255737305e+00,9.999645352363586426e-01
6.125000000000000444e-01,3.848451000647496567e+00,-4.718278348445892334e-01,-4.719504415988922119e-01,1.000000596046447754e+00,9.999631643295288086e-01
6.250000000000000000e-01,3.926990816987241395e+00,-2.625862360000610352e-01,-2.627273201942443848e-01,1.000000596046447754e+00,9.999620318412780762e-01
6.374999999999999556e-01,4.005530633326985779e+00,-2.618650496006011963e-01,-2.617665529251098633e-01,1.000000476837158203e+00,9.999609589576721191e-01
6.500000000000000222e-01,4.084070449666731051e+00,-5.189521908760070801e-01,-5.187873244285583496e-01,1.000000596046447754e+00,9.999600648880004883e-01
