omega_tilde_over_omega,normalized_amplitude
0.000000000000000000e+00,6.385507727036763160e-04
2.499218994064355062e-02,3.193939701912224547e-04
4.998437988128710124e-02,9.080194569989585362e-08
7.497656982193064146e-02,1.399715576989809174e-07
9.996875976257420249e-02,2.609322703535133002e-07
1.249609497032177496e-01,3.996499420989148764e-07
1.499531396438612829e-01,4.737011044082053947e-07
1.749453295845048439e-01,1.018572432531048182e-06
1.999375195251484050e-01,1.294744073841315438e-06
2.249297094657919382e-01,2.034183730683552199e-06
2.499218994064354993e-01,3.059832920701979721e-06
2.749140893470790048e-01,4.645405143280016541e-06
2.999062792877225658e-01,7.341703942272955999e-06
3.248984692283661269e-01,1.198760537833102898e-05
3.498906591690096879e-01,2.066873647711770038e-05
3.748828491096532489e-01,3.890452695176333084e-05
3.998750390502968100e-01,8.295417627292307587e-05
4.248672289909403155e-01,2.201692579916836659e-04
4.498594189315838765e-01,9.284509071427792318e-04
4.748516088722274375e-01,4.955577030031478314e-01
4.998437988128709986e-01,1.000000000000000000e+00
5.248359887535145596e-01,5.049403139684398578e-01
5.498281786941580096e-01,1.161370274022870477e-03
5.748203686348016817e-01,3.021095471921931988e-04
5.998125585754451317e-01,1.258734033620797187e-04
6.248047485160886927e-01,6.554565075890148810e-05
6.497969384567322537e-01,3.894400478606543621e-05
6.747891283973758147e-01,2.530196107175675119e-05
6.997813183380193758e-01,1.747027603256046024e-05
7.247735082786629368e-01,1.272899515931917507e-05
7.497656982193064978e-01,9.564090332274314711e-06
7.747578881599500589e-01,7.481282183959105687e-06
7.997500781005936199e-01,5.756042655051980579e-06
8.247422680412371809e-01,5.177994148938964575e-06
8.497344579818806309e-01,3.497617628934366464e-06
8.747266479225241920e-01,3.457159235843019440e-06
8.997188378631677530e-01,2.950399891794994503e-06
9.247110278038112030e-01,2.422016964762341488e-06
9.497032177444548751e-01,1.814283853693385106e-06
9.746954076850984361e-01,2.575035886442787175e-06
9.996875976257419971e-01,1.706718049566042515e-06
1.024679787566385558e+00,7.129584923389718739e-07
1.049671977507029119e+00,1.732727977458282622e-06
1.074664167447672680e+00,1.123622097056800477e-06
1.099656357388316019e+00,9.056784726274919701e-07
1.124648547328959802e+00,8.218977332152429863e-07
1.149640737269603363e+00,1.294653556276272234e-06
1.174632927210246702e+00,4.439096310314562037e-07
1.199625117150890263e+00,8.383948410472360792e-07
1.224617307091534046e+00,5.385888955839592004e-07
1.249609497032177385e+00,5.278947139477114366e-07
1.274601686972820946e+00,4.033425898600071415e-07
1.299593876913464507e+00,3.668579331119600311e-07
1.324586066854108068e+00,1.766313769207710325e-07
1.349578256794751629e+00,9.080335380792246409e-08
1.374570446735395191e+00,5.108574355698349792e-07
1.399562636676038752e+00,1.519526097059827133e-06
1.424554826616682313e+00,4.468397374157018170e-06
1.449547016557325874e+00,1.909426353405830842e-05
1.474539206497969435e+00,2.703640363023418394e-03
1.499531396438612996e+00,5.590821588684105094e-03
1.524523586379256557e+00,2.890857211841560068e-03
1.549515776319900118e+00,2.258110260158571153e-05
1.574507966260543457e+00,5.829576082305153262e-06
1.599500156201187240e+00,2.474727085678037691e-06
1.624492346141830801e+00,1.420900256457856142e-06
1.649484536082474362e+00,8.049467770914165336e-07
1.674476726023117923e+00,6.798444720468077828e-07
1.699468915963761262e+00,5.281702326510568320e-07
1.724461105904404823e+00,3.778450486610311245e-07
1.749453295845048384e+00,3.587772494192382298e-07
1.774445485785691945e+00,3.006234964177373041e-07
1.799437675726335506e+00,2.111869629083805706e-07
1.824429865666979289e+00,3.810942654226393110e-07
1.849422055607622406e+00,7.684091913160843601e-08
1.874414245548265967e+00,2.349388083847848882e-07
1.899406435488909750e+00,2.630967528984742015e-07
1.924398625429553311e+00,1.570294199079247767e-07
1.949390815370196872e+00,2.004959731302093247e-07
1.974383005310840433e+00,4.339079891489277778e-07
1.999375195251483994e+00,2.192164682601340877e-07
2.024367385192127333e+00,1.539960940606732296e-07
2.049359575132771116e+00,2.935211606389682205e-07
2.074351765073414455e+00,8.707772235144664023e-08
2.099343955014058238e+00,4.000966334691690925e-08
2.124336144954701577e+00,7.424267548628431240e-08
2.149328334895345360e+00,9.716843524081855087e-08
2.174320524835988699e+00,5.654476513050933001e-08
2.199312714776632038e+00,3.748473730791033990e-08
2.224304904717275821e+00,9.993745756844604121e-08
2.249297094657919605e+00,1.701523347671426735e-07
2.274289284598562944e+00,2.959299053893014808e-07
2.299281474539206727e+00,5.002477395889623900e-07
2.324273664479850066e+00,7.863713695886845197e-07
2.349265854420493405e+00,1.250638999579641854e-06
2.374258044361137188e+00,2.366261482289478106e-06
2.399250234301780527e+00,4.854664165194287127e-06
2.424242424242424310e+00,1.219320919109004001e-05
2.449234614183068093e+00,4.830710272624519092e-05
2.474226804123711432e+00,4.288316570722449685e-03
2.499218994064354771e+00,9.036549573679948655e-03
2.524211184004998554e+00,4.760380891127981989e-03
2.549203373945641893e+00,5.698534872278097544e-05
2.574195563886285676e+00,1.402790314062546177e-05
2.599187753826929015e+00,5.661467152618429962e-06
2.624179943767572798e+00,2.826455546041353692e-06
2.649172133708216137e+00,1.747049416200105250e-06
2.674164323648859476e+00,9.896149899579782467e-07
2.699156513589503259e+00,7.588199061864932999e-07
2.724148703530147042e+00,5.412552661711919732e-07
2.749140893470790381e+00,3.787853459271097158e-07
2.774133083411434164e+00,3.213612592606535591e-07
2.799125273352077503e+00,2.417833569323965930e-07
2.824117463292720842e+00,2.013917294849367424e-07
2.849109653233364625e+00,1.465016694451374008e-07
2.874101843174007964e+00,1.419214534589393315e-07
2.899094033114651747e+00,1.305892437106718530e-07
2.924086223055295530e+00,9.732867013478044330e-08
