omega_tilde_over_omega,normalized_amplitude
0.000000000000000000e+00,5.870529670019160578e-04
2.499218994064355062e-02,2.686497522657626310e-04
4.998437988128710124e-02,3.380264267798824631e-05
7.497656982193064146e-02,4.899922864391349780e-05
9.996875976257420249e-02,6.623755651149064081e-05
1.249609497032177496e-01,9.241575979607862142e-05
1.499531396438612829e-01,1.202436640140459715e-04
1.749453295845048439e-01,1.627184624381455933e-04
1.999375195251484050e-01,2.159770943735267977e-04
2.249297094657919382e-01,3.009882082223884134e-04
2.499218994064354993e-01,4.212166501491268369e-04
2.749140893470790048e-01,6.219789487796942686e-04
2.999062792877225658e-01,9.692256021353582753e-04
3.248984692283661269e-01,1.633376668463371864e-03
3.498906591690096879e-01,3.098333187503934678e-03
3.748828491096532489e-01,7.133103873440554271e-03
3.998750390502968100e-01,2.386889457587357613e-02
4.248672289909403155e-01,2.922759739813374780e-01
4.498594189315838765e-01,9.008961889135431722e-01
4.748516088722274375e-01,6.591505394898460324e-01
4.998437988128709986e-01,8.937283473020339597e-02
5.248359887535145596e-01,7.190869774024223338e-01
5.498281786941580096e-01,1.000000000000000000e+00
5.748203686348016817e-01,3.317404482620891493e-01
5.998125585754451317e-01,2.590424290847543470e-02
6.248047485160886927e-01,7.681776414378229181e-03
6.497969384567322537e-01,3.324749781925018331e-03
6.747891283973758147e-01,1.750132237155953459e-03
6.997813183380193758e-01,1.039097155701695354e-03
7.247735082786629368e-01,6.697943763949480104e-04
7.497656982193064978e-01,4.579596181707432968e-04
7.747578881599500589e-01,3.298335607396876180e-04
7.997500781005936199e-01,2.434088116232805982e-04
8.247422680412371809e-01,1.873717579942668599e-04
8.497344579818806309e-01,1.460713027011581434e-04
8.747266479225241920e-01,1.169507302457904692e-04
8.997188378631677530e-01,9.449203589764751453e-05
9.247110278038112030e-01,7.883494418199818150e-05
9.497032177444548751e-01,6.569795097572095875e-05
9.746954076850984361e-01,5.284526313984667695e-05
9.996875976257419971e-01,5.160394363174173601e-05
1.024679787566385558e+00,3.817379006871978603e-05
1.049671977507029119e+00,3.617690295188421624e-05
1.074664167447672680e+00,3.235123165904749750e-05
1.099656357388316019e+00,2.908998049529453307e-05
1.124648547328959802e+00,2.618052321943316243e-05
1.149640737269603363e+00,2.625000335606035123e-05
1.174632927210246702e+00,2.591384618988939954e-05
1.199625117150890263e+00,2.886093512694667688e-05
1.224617307091534046e+00,3.292218596393597615e-05
1.249609497032177385e+00,4.292522806482043315e-05
1.274601686972820946e+00,5.807461600738097568e-05
1.299593876913464507e+00,8.631239175606844518e-05
1.324586066854108068e+00,1.428851829549865403e-04
1.349578256794751629e+00,2.666750337313518221e-04
1.374570446735395191e+00,6.088809599673757848e-04
1.399562636676038752e+00,2.026584013720529598e-03
1.424554826616682313e+00,2.387393228829757033e-02
1.449547016557325874e+00,7.537987547668068000e-02
1.474539206497969435e+00,5.592898398513202612e-02
1.499531396438612996e+00,7.935601721249066140e-03
1.524523586379256557e+00,5.840122903927366660e-02
1.549515776319900118e+00,8.285700123684569540e-02
1.574507966260543457e+00,2.806471129973226591e-02
1.599500156201187240e+00,2.082839264014317310e-03
1.624492346141830801e+00,6.112253034160675157e-04
1.649484536082474362e+00,2.631621282844336389e-04
1.674476726023117923e+00,1.379602767682196304e-04
1.699468915963761262e+00,8.238269958357588216e-05
1.724461105904404823e+00,5.311750506072584647e-05
1.749453295845048384e+00,3.614622304956170620e-05
1.774445485785691945e+00,2.596913125286906890e-05
1.799437675726335506e+00,1.935842979105784238e-05
1.824429865666979289e+00,1.471279017967470413e-05
1.849422055607622406e+00,1.141706889852703827e-05
1.874414245548265967e+00,8.997530802715680549e-06
1.899406435488909750e+00,7.182638490252186407e-06
1.924398625429553311e+00,5.839054536487112516e-06
1.949390815370196872e+00,4.784137106178103283e-06
1.974383005310840433e+00,3.510664524088520625e-06
1.999375195251483994e+00,3.997711288253614517e-06
2.024367385192127333e+00,2.692244559817743176e-06
2.049359575132771116e+00,3.402231493073211607e-06
2.074351765073414455e+00,3.569384886796557082e-06
2.099343955014058238e+00,4.167528748802999100e-06
2.124336144954701577e+00,6.015988005386805307e-06
2.149328334895345360e+00,6.774882470876902155e-06
2.174320524835988699e+00,9.614934065971108299e-06
2.199312714776632038e+00,1.254289633170310356e-05
2.224304904717275821e+00,1.718559924739367271e-05
2.249297094657919605e+00,2.388301949625140983e-05
2.274289284598562944e+00,3.538900203760875918e-05
2.299281474539206727e+00,5.516480057613511141e-05
2.324273664479850066e+00,9.238636285353204439e-05
2.349265854420493405e+00,1.754559613149453239e-04
2.374258044361137188e+00,4.035724457207197097e-04
2.399250234301780527e+00,1.339588978255739716e-03
2.424242424242424310e+00,1.518876529765397429e-02
2.449234614183068093e+00,4.908795508317019551e-02
2.474226804123711432e+00,3.703585088127421543e-02
2.499218994064354771e+00,5.662503232474250074e-03
2.524211184004998554e+00,4.546631541598033371e-02
2.549203373945641893e+00,6.562001803095439401e-02
2.574195563886285676e+00,2.271830736892271538e-02
2.599187753826929015e+00,1.602803529887827710e-03
2.624179943767572798e+00,4.655593594477972570e-04
2.649172133708216137e+00,1.988794696990158514e-04
2.674164323648859476e+00,1.037603267089518802e-04
2.699156513589503259e+00,6.085444137882310218e-05
2.724148703530147042e+00,3.915964020847208747e-05
2.749140893470790381e+00,2.645434076692101280e-05
2.774133083411434164e+00,1.875016580266154279e-05
2.799125273352077503e+00,1.382920205346539740e-05
2.824117463292720842e+00,1.039663333354230630e-05
2.849109653233364625e+00,7.715215237623973123e-06
2.874101843174007964e+00,6.481525614046401804e-06
2.899094033114651747e+00,4.547844585004817236e-06
2.924086223055295530e+00,3.739089557762831136e-06
2.949078412995938869e+00,2.804602501730325651e-06
2.974070602936582208e+00,2.555375420709942688e-06
2.999062792877225991e+00,1.102918817687407499e-06
3.024054982817869330e+00,1.860426272520214198e-06
3.049047172758513113e+00,1.240144266269079977e-06
3.074039362699156452e+00,1.860873200316710093e-06
3.099031552639800235e+00,2.511174040164315548e-06
3.124023742580443574e+00,3.300323876641828396e-06
3.149015932521086913e+00,4.666878225458694014e-06
3.174008122461731141e+00,6.134907278890631269e-06
3.199000312402374480e+00,8.193826348507217389e-06
3.223992502343017374e+00,1.152846106572702906e-05
3.248984692283661602e+00,1.609015337796600834e-05
3.273976882224304941e+00,2.410797516448891795e-05
3.298969072164948724e+00,3.740513334889643764e-05
3.323961262105592063e+00,6.257911304319070547e-05
3.348953452046235846e+00,1.186622663182041262e-04
3.373945641986879185e+00,2.722830381236655286e-04
3.398937831927522524e+00,8.975251330292382699e-04
3.423930021868166307e+00,9.795836762773518433e-03
3.448922211808809646e+00,3.240853834496737473e-02
3.473914401749453429e+00,2.486513816363286264e-02
3.498906591690096768e+00,4.094520343619345581e-03
3.523898781630740107e+00,3.595959782164545593e-02
3.548890971571383890e+00,5.279501645323186193e-02
3.573883161512027229e+00,1.868034784802154180e-02
3.598875351452671012e+00,1.250385704736280742e-03
3.623867541393314351e+00,3.604053998982257559e-04
3.648859731333958578e+00,1.533029558817103094e-04
3.673851921274601473e+00,7.957364924100963259e-05
3.698844111215244812e+00,4.682481401978204550e-05
3.723836301155889039e+00,2.990995652699749224e-05
3.748828491096531934e+00,2.022576799965923307e-05
3.773820681037176161e+00,1.437499945680036498e-05
3.798812870977819500e+00,1.061075082974255858e-05
3.823805060918463283e+00,8.079834205228110641e-06
3.848797250859106622e+00,6.015158442499765788e-06
3.873789440799749961e+00,5.229808419470372257e-06
3.898781630740393744e+00,3.601377608018292131e-06
3.923773820681037083e+00,3.174175567794399615e-06
3.948766010621680866e+00,2.316175259445116753e-06
3.973758200562324205e+00,2.816632230361965639e-06
3.998750390502967988e+00,1.830231611271064167e-06
4.023742580443611772e+00,2.035216982766241668e-06
4.048734770384254666e+00,8.862532504110181008e-07
4.073726960324898450e+00,2.638184588515601340e-07
4.098719150265542233e+00,4.998664932917541186e-07
4.123711340206186016e+00,9.446374798984337990e-07
4.148703530146828911e+00,5.608090073236003099e-07
4.173695720087472694e+00,1.424467433663200753e-06
4.198687910028116477e+00,1.962999601065209490e-06
4.223680099968759372e+00,3.009941299073623858e-06
4.248672289909403155e+00,4.207229337124525852e-06
4.273664479850046938e+00,6.488393454564913136e-06
4.298656669790690721e+00,9.956793157885591330e-06
4.323648859731333616e+00,1.657778782399849630e-05
4.348641049671977399e+00,3.083052790631250355e-05
4.373633239612621182e+00,6.949478154182227568e-05
4.398625429553264077e+00,2.257850989990269606e-04
4.423617619493908748e+00,2.373325552444313299e-03
4.448609809434551643e+00,8.046797274139101674e-03
4.473601999375195426e+00,6.272366525962135529e-03
4.498594189315839209e+00,1.505477570911432136e-03
4.523586379256482104e+00,1.728513419493113781e-02
4.548578569197125887e+00,2.580788810966280072e-02
4.573570759137769670e+00,9.332293258388415017e-03
4.598562949078413453e+00,5.912366648427585126e-04
4.623555139019056348e+00,1.691483701090883292e-04
4.648547328959700131e+00,7.173129012291735703e-05
4.673539518900343914e+00,3.711553852938837320e-05
4.698531708840986809e+00,2.192962266539279418e-05
4.723523898781630592e+00,1.402634403889042533e-05
4.748516088722274375e+00,9.552695318688086572e-06
4.773508278662918158e+00,6.886916660505554107e-06
4.798500468603561053e+00,5.171880123628678424e-06
4.823492658544204836e+00,4.141496305534621478e-06
4.848484848484848619e+00,3.113459631881659779e-06
4.873477038425491514e+00,3.157139998893779272e-06
4.898469228366136186e+00,2.083420929615464554e-06
4.923461418306779080e+00,2.359143112597548392e-06
4.948453608247422864e+00,1.829230999759365355e-06
4.973445798188066647e+00,2.829702582804075284e-06
4.998437988128709542e+00,3.442964171731458322e-06
5.023430178069353325e+00,2.330305780147812495e-06
5.048422368009997108e+00,2.620460392224138093e-06
5.073414557950640891e+00,2.587620105933293502e-06
5.098406747891283786e+00,3.434297552053924978e-06
5.123398937831927569e+00,3.239719742800274524e-06
5.148391127772571352e+00,4.817466486517353976e-06
5.173383317713214247e+00,5.663283719229326094e-06
5.198375507653858030e+00,7.408106244912825015e-06
5.223367697594501813e+00,1.001786750970502451e-05
5.248359887535145596e+00,1.380675215986917639e-05
5.273352077475788491e+00,2.032071082416124245e-05
5.298344267416432274e+00,3.162996576843479969e-05
5.323336457357076057e+00,5.304737052414650950e-05
5.348328647297718952e+00,1.006388555892953157e-04
5.373320837238363623e+00,2.302785532422165177e-04
5.398313027179006518e+00,7.505795277677228868e-04
5.423305217119650301e+00,7.618534004186571819e-03
5.448297407060294084e+00,2.640866099018313734e-02
5.473289597000936979e+00,2.097909054566672940e-02
5.498281786941580762e+00,2.808504598077820203e-03
5.523273976882224545e+00,1.371797840187184009e-02
5.548266166822868328e+00,2.087536490823069940e-02
5.573258356763511223e+00,7.702870200631110366e-03
5.598250546704155006e+00,4.590348346000892713e-04
5.623242736644798789e+00,1.311621064889000705e-04
5.648234926585441684e+00,5.603064646498023160e-05
5.673227116526085467e+00,2.942698088030378133e-05
5.698219306466729250e+00,1.738164310871830241e-05
5.723211496407373033e+00,1.108266842719213304e-05
5.748203686348015928e+00,7.420301684849794797e-06
5.773195876288659711e+00,5.026296337221481543e-06
5.798188066229303494e+00,3.460280763243266514e-06
5.823180256169946389e+00,2.321028042201569453e-06
5.848172446110591061e+00,1.487131790857310247e-06
5.873164636051233956e+00,6.197871338433865721e-07
5.898156825991877739e+00,4.675879811719643660e-07
5.923149015932521522e+00,1.089778932408007670e-06
5.948141205873164417e+00,1.152854694752132419e-06
5.973133395813808200e+00,1.932301800622771104e-06
5.998125585754451983e+00,4.006836770412717320e-06
6.023117775695095766e+00,2.488761211014864374e-06
6.048109965635738661e+00,4.220770271705370650e-06
6.073102155576382444e+00,4.872393536971071167e-06
6.098094345517026227e+00,6.234557595613843938e-06
6.123086535457669122e+00,7.729182351037805279e-06
6.148078725398312905e+00,9.857909335138304992e-06
6.173070915338956688e+00,1.291323033046597654e-05
6.198063105279600471e+00,1.706319507649376249e-05
6.223055295220243366e+00,2.315901863392199434e-05
6.248047485160887149e+00,3.238293902337244229e-05
6.273039675101530932e+00,4.776192591830373188e-05
6.298031865042173827e+00,7.439244248897609901e-05
6.323024054982818498e+00,1.251766061288203755e-04
6.348016244923462281e+00,2.369993344570148978e-04
6.373008434864104288e+00,5.406563920213959583e-04
6.398000624804748959e+00,1.750484433473547922e-03
6.422992814745392742e+00,1.719150794535420981e-02
6.447985004686034749e+00,6.106377218568997262e-02
6.472977194626679420e+00,4.931717239846949291e-02
6.497969384567323203e+00,7.267252148238502289e-03
6.522961574507966986e+00,4.962716609722222366e-02
6.547953764448609881e+00,7.679775260714769014e-02
6.572945954389253664e+00,2.895407171593671058e-02
6.597938144329897447e+00,1.618639588040033392e-03
6.622930334270540342e+00,4.567799478368039833e-04
6.647922524211184125e+00,1.931684108619613602e-04
6.672914714151827908e+00,1.003281560208802895e-04
6.697906904092471692e+00,5.900680212230818069e-05
6.722899094033114586e+00,3.769449306952609455e-05
6.747891283973758370e+00,2.541493006336478138e-05
6.772883473914402153e+00,1.787460229032562358e-05
6.797875663855045048e+00,1.300371770309919694e-05
6.822867853795688831e+00,9.562895904959108878e-06
6.847860043736332614e+00,6.939641245895598453e-06
6.872852233676976397e+00,5.234033390181581404e-06
6.897844423617619292e+00,3.657051847282293235e-06
6.922836613558263075e+00,2.549924420390531739e-06
6.947828803498906858e+00,1.744531883430002542e-06
6.972820993439549753e+00,1.094484868388966444e-06
6.997813183380193536e+00,2.226868991562155095e-06
7.022805373320837319e+00,2.339546247182736294e-06
7.047797563261480214e+00,3.771322634598053909e-06
7.072789753202123997e+00,4.988454755479167446e-06
7.097781943142767780e+00,6.425452362314578216e-06
7.122774133083411563e+00,8.896133319668544996e-06
7.147766323024054458e+00,1.111293488225912776e-05
7.172758512964698241e+00,1.496217227487936132e-05
7.197750702905342024e+00,2.003388137113900152e-05
7.222742892845984919e+00,2.739385775887335944e-05
7.247735082786628702e+00,3.862278296137610983e-05
7.272727272727272485e+00,5.713599970846673973e-05
7.297719462667917156e+00,8.909501102951788867e-05
7.322711652608559163e+00,1.500186424902182536e-04
7.347703842549202946e+00,2.837761532130644838e-04
7.372696032489847617e+00,6.454252810369024438e-04
7.397688222430489624e+00,2.077499830195932411e-03
7.422680412371133407e+00,1.975657303743541537e-02
7.447672602311778078e+00,7.192036009717098222e-02
7.472664792252421861e+00,5.906516410818705987e-02
7.497656982193063868e+00,9.117623445191701259e-03
7.522649172133708539e+00,6.863673598975075785e-02
7.547641362074352323e+00,1.080706451843056193e-01
7.572633552014994329e+00,4.160758205328564385e-02
7.597625741955639000e+00,2.171513538375850327e-03
7.622617931896282784e+00,6.078395214457554905e-04
7.647610121836926567e+00,2.560798484149441330e-04
7.672602311777569462e+00,1.326987047744123554e-04
7.697594501718213245e+00,7.814375586713663633e-05
7.722586691658857028e+00,5.004023840926038704e-05
7.747578881599499923e+00,3.389265227891597278e-05
7.772571071540143706e+00,2.420318478944316889e-05
7.797563261480787489e+00,1.779572116189783940e-05
7.822555451421431272e+00,1.355737794391093155e-05
7.847547641362074167e+00,1.006787677331458392e-05
7.872539831302717950e+00,8.540702702751569033e-06
7.897532021243361733e+00,5.863133273846435498e-06
7.922524211184004628e+00,5.056659544503646642e-06
7.947516401124648411e+00,3.588141450101178734e-06
7.972508591065292194e+00,3.751364828559497541e-06
7.997500781005935977e+00,2.435787586763659607e-06
8.022492970946579760e+00,2.635317968007024395e-06
8.047485160887223543e+00,7.448663744229366277e-07
8.072477350827867326e+00,1.063760920731174080e-06
8.097469540768509333e+00,1.684686508864171301e-06
8.122461730709153116e+00,3.476829672606722461e-06
8.147453920649796899e+00,4.067756494345593874e-06
8.172446110590440682e+00,6.229141019107115822e-06
8.197438300531084465e+00,8.529760742565539494e-06
8.222430490471728248e+00,1.210705441154252333e-05
8.247422680412372031e+00,1.744310226807495149e-05
8.272414870353014038e+00,2.620234484832283803e-05
8.297407060293657821e+00,4.097357241187385695e-05
8.322399250234301604e+00,6.926186311670752712e-05
8.347391440174945387e+00,1.310045696434940449e-04
8.372383630115589170e+00,2.973307049825943296e-04
8.397375820056232953e+00,9.514951520921344696e-04
8.422368009996876737e+00,8.776680220292404355e-03
8.447360199937518743e+00,3.276276404656702779e-02
8.472352389878162526e+00,2.735383244552073642e-02
8.497344579818806309e+00,4.594297695896395854e-03
8.522336769759450092e+00,4.289736989378028359e-02
8.547328959700093876e+00,6.871726609976785971e-02
8.572321149640737659e+00,2.701370683166792741e-02
8.597313339581381442e+00,1.308888137642959335e-03
8.622305529522023448e+00,3.633261003208261065e-04
8.647297719462667231e+00,1.523120597760552685e-04
8.672289909403311015e+00,7.871720380411899266e-05
8.697282099343954798e+00,4.634731930102450604e-05
8.722274289284598581e+00,2.984934382015560922e-05
8.747266479225242364e+00,2.031643015600832010e-05
8.772258669165886147e+00,1.489425999350266396e-05
8.797250859106528154e+00,1.114478595332783794e-05
8.822243049047171937e+00,8.956506810130257214e-06
8.847235238987817496e+00,6.917285251291136872e-06
8.872227428928459503e+00,6.820215352136506284e-06
8.897219618869103286e+00,4.693605354665680640e-06
8.922211808809747069e+00,5.321343400502637055e-06
8.947203998750390852e+00,4.314210926058857945e-06
8.972196188691032859e+00,5.332022663303821919e-06
8.997188378631678418e+00,7.185941300047360565e-06
9.022180568572322201e+00,4.438620047924978331e-06
9.047172758512964208e+00,5.844331675831483875e-06
9.072164948453607991e+00,5.790395128475773090e-06
9.097157138394251774e+00,7.124104933915137898e-06
9.122149328334893781e+00,7.482821916399315096e-06
9.147141518275539340e+00,9.899089148631051228e-06
9.172133708216183123e+00,1.221796981617597993e-05
9.197125898156826906e+00,1.572651256805275148e-05
9.222118088097468913e+00,2.105542590326407997e-05
9.247110278038112696e+00,2.903259860990131167e-05
9.272102467978756479e+00,4.226908158121827350e-05
9.297094657919400262e+00,6.556989643576686673e-05
9.322086847860044045e+00,1.097993586968657316e-04
9.347079037800687829e+00,2.064928605069688092e-04
9.372071227741331612e+00,4.666383352126612450e-04
9.397063417681973618e+00,1.481734852913406527e-03
9.422055607622617401e+00,1.324492697428173230e-02
9.447047797563261184e+00,5.066347104118090056e-02
9.472039987503904968e+00,4.305278980149448292e-02
9.497032177444548751e+00,6.507867234442375748e-03
9.522024367385192534e+00,3.053851222357180373e-02
9.547016557325836317e+00,4.984480608958515024e-02
9.572008747266478323e+00,1.998740857900578247e-02
9.597000937207122107e+00,8.928293021407599341e-04
9.621993127147765890e+00,2.483390009444219311e-04
9.646985317088409673e+00,1.056654338320474470e-04
9.671977507029053456e+00,5.580529221433238072e-05
9.696969696969697239e+00,3.318301150777644556e-05
9.721961886910341022e+00,2.140853616001315185e-05
9.746954076850983029e+00,1.445567351358222280e-05
9.771946266791626812e+00,9.951907725044622041e-06
9.796938456732272371e+00,7.027590815864253647e-06
9.821930646672914378e+00,4.800173189739792067e-06
9.846922836613558161e+00,3.169237577801329081e-06
9.871915026554201944e+00,1.632943645758576552e-06
9.896907216494845727e+00,1.240035007848136233e-06
9.921899406435487734e+00,1.746010584089116710e-06
9.946891596376133293e+00,1.973190558017186578e-06
9.971883786316777076e+00,2.887815742251139598e-06
9.996875976257419083e+00,6.330887291296168862e-06
1.002186816619806287e+01,4.547305191372804133e-06
1.004686035613870665e+01,7.544084126433838971e-06
1.007185254607935043e+01,9.039270304413525575e-06
1.009684473601999422e+01,1.145727353321784586e-05
1.012183692596063800e+01,1.444031688417233678e-05
1.014682911590128178e+01,1.854985275989712849e-05
1.017182130584192379e+01,2.419438254423530847e-05
1.019681349578256757e+01,3.213227613896912964e-05
1.022180568572321135e+01,4.363061439838033075e-05
1.024679787566385514e+01,6.143080974169646462e-05
1.027179006560449892e+01,9.047697126861026348e-05
1.029678225554514270e+01,1.408235274661015751e-04
1.032177444548578649e+01,2.366160732756976968e-04
1.034676663542642849e+01,4.457770010670795416e-04
1.037175882536707228e+01,1.005812600096884536e-03
1.039675101530771606e+01,3.177811208270976424e-03
1.042174320524835984e+01,2.761381818041211411e-02
1.044673539518900363e+01,1.083843805880695815e-01
1.047172758512964741e+01,9.363814513112424243e-02
1.049671977507029119e+01,1.495849194642448997e-02
1.052171196501093320e+01,9.424510251977931408e-02
1.054670415495157698e+01,1.564912483381946939e-01
1.057169634489222076e+01,6.406017462861159084e-02
1.059668853483286455e+01,2.616557052366119945e-03
1.062168072477350833e+01,7.179959042719705892e-04
1.064667291471415211e+01,3.019027357852984090e-04
1.067166510465479590e+01,1.575530999113820385e-04
1.069665729459543790e+01,9.358272340119505204e-05
1.072164948453608169e+01,6.067614795434808661e-05
1.074664167447672725e+01,4.152430347074913112e-05
1.077163386441736925e+01,3.003485061381589569e-05
1.079662605435801304e+01,2.218770225414661812e-05
1.082161824429865682e+01,1.705105699988849910e-05
1.084661043423930060e+01,1.277848880865806051e-05
1.087160262417994261e+01,1.082471783298886627e-05
1.089659481412058817e+01,7.481408900206714740e-06
1.092158700406123195e+01,6.468861441466021656e-06
1.094657919400187396e+01,4.621563324351214039e-06
1.097157138394251774e+01,4.267060884217985800e-06
1.099656357388316152e+01,3.146742131080460851e-06
1.102155576382380531e+01,2.983901797339384488e-06
1.104654795376444909e+01,9.209286715669590399e-07
1.107154014370509287e+01,1.658665841418345936e-06
1.109653233364573666e+01,2.565812930578214083e-06
1.112152452358637866e+01,5.195833625638290763e-06
1.114651671352702245e+01,6.184871678128733582e-06
1.117150890346766623e+01,9.129158220517042720e-06
1.119650109340831001e+01,1.291033469373807173e-05
1.122149328334895380e+01,1.798859760368272032e-05
1.124648547328959758e+01,2.605371544645602519e-05
1.127147766323024136e+01,3.939181053388810422e-05
1.129646985317088337e+01,6.156306911483232648e-05
1.132146204311152715e+01,1.040248944179352966e-04
1.134645423305217093e+01,1.967388749487996766e-04
1.137144642299281472e+01,4.437247067514639345e-04
1.139643861293345850e+01,1.395361670493305969e-03
1.142143080287410228e+01,1.180141914246838307e-02
1.144642299281474607e+01,4.755134032119739257e-02
1.147141518275538807e+01,4.176507067820627028e-02
1.149640737269603186e+01,7.046529866509079927e-03
1.152139956263667564e+01,5.700985422303996714e-02
1.154639175257731942e+01,9.632490227578688335e-02
1.157138394251796321e+01,4.024087314054793779e-02
1.159637613245860699e+01,1.489318287593614397e-03
1.162136832239925077e+01,4.043894934665118006e-04
1.164636051233989278e+01,1.689787914323888840e-04
1.167135270228053656e+01,8.756522423369933656e-05
1.169634489222118212e+01,5.220978204558698817e-05
1.172133708216182413e+01,3.404799303099531821e-05
1.174632927210246791e+01,2.352921888591844859e-05
1.177132146204311169e+01,1.777734486168664474e-05
1.179631365198375548e+01,1.352822291119546484e-05
1.182130584192439748e+01,1.132737712220112456e-05
1.184629803186504304e+01,9.040916185128297400e-06
1.187129022180568683e+01,9.208841263025494952e-06
1.189628241174632883e+01,6.832876830141452238e-06
1.192127460168697262e+01,8.050096429743904016e-06
1.194626679162761640e+01,6.839718738380266891e-06
1.197125898156826018e+01,7.841209892893933459e-06
1.199625117150890397e+01,1.177408219222258273e-05
1.202124336144954775e+01,7.196045704501983905e-06
1.204623555139019153e+01,1.051892604864022460e-05
1.207122774133083354e+01,1.116831741917364520e-05
1.209621993127147732e+01,1.337222326221310285e-05
1.212121212121212110e+01,1.503378446345755621e-05
1.214620431115276489e+01,1.977437825731358107e-05
1.217119650109340867e+01,2.428942809115284906e-05
1.219618869103405245e+01,3.200208104224164604e-05
1.222118088097469624e+01,4.264250786895496247e-05
1.224617307091533824e+01,5.936964840475012617e-05
1.227116526085598203e+01,8.661811568717697719e-05
1.229615745079662581e+01,1.340823884395806256e-04
1.232114964073726959e+01,2.245917391213273254e-04
1.234614183067791338e+01,4.206737217098435689e-04
1.237113402061855716e+01,9.430183376355744497e-04
1.239612621055920094e+01,2.941490809093390106e-03
1.242111840049984295e+01,2.418615783808499009e-02
1.244611059044048673e+01,1.000024678554083668e-01
1.247110278038113051e+01,8.936054374959102875e-02
1.249609497032177430e+01,1.482785959250577761e-02
1.252108716026241808e+01,7.352892727470136669e-02
1.254607935020306186e+01,1.265655557626654548e-01
