n,a_plus_abs,a_minus_abs
0.000000000000000000e+00,9.999999403953552246e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.489600880537182093e-05,1.000000596046447754e+00
2.000000000000000000e+00,1.000001192092895508e+00,1.099070941563695669e-04
3.000000000000000000e+00,1.651652419241145253e-04,1.000001549720764160e+00
4.000000000000000000e+00,1.000001907348632812e+00,2.204578195232897997e-04
5.000000000000000000e+00,2.758804184850305319e-04,1.000002980232238770e+00
6.000000000000000000e+00,1.000003933906555176e+00,3.314559289719909430e-04
7.000000000000000000e+00,3.872785891871899366e-04,1.000004529953002930e+00
8.000000000000000000e+00,1.000005722045898438e+00,4.379630845505744219e-04
9.000000000000000000e+00,4.940091748721897602e-04,1.000006318092346191e+00
1.000000000000000000e+01,1.000007390975952148e+00,5.502938292920589447e-04
1.100000000000000000e+01,6.090104579925537109e-04,1.000007987022399902e+00
1.200000000000000000e+01,1.000008821487426758e+00,6.630658754147589207e-04
1.300000000000000000e+01,7.142062531784176826e-04,1.000009775161743164e+00
1.400000000000000000e+01,1.000010609626770020e+00,7.718668784946203232e-04
1.500000000000000000e+01,8.261501789093017578e-04,1.000010967254638672e+00
1.600000000000000000e+01,1.000011801719665527e+00,8.782722288742661476e-04
1.700000000000000000e+01,9.357632370665669441e-04,1.000012636184692383e+00
1.800000000000000000e+01,1.000013351440429688e+00,9.902163874357938766e-04
1.900000000000000000e+01,1.041845767758786678e-03,1.000014662742614746e+00
2.000000000000000000e+01,1.000015497207641602e+00,1.099656336009502411e-03
2.100000000000000000e+01,1.157943042926490307e-03,1.000016450881958008e+00
2.200000000000000000e+01,1.000017166137695312e+00,1.213156152516603470e-03
2.300000000000000000e+01,1.269854954443871975e-03,1.000018477439880371e+00
2.400000000000000000e+01,1.000019431114196777e+00,1.322860713116824627e-03
2.500000000000000000e+01,1.371771097183227539e-03,1.000020742416381836e+00
2.600000000000000000e+01,1.000021696090698242e+00,1.431049196980893612e-03
2.700000000000000000e+01,1.488467329181730747e-03,1.000022411346435547e+00
2.800000000000000000e+01,1.000023603439331055e+00,1.543301739729940891e-03
2.900000000000000000e+01,1.600848394446074963e-03,1.000024676322937012e+00
3.000000000000000000e+01,1.000025987625122070e+00,1.654838211834430695e-03
3.100000000000000000e+01,1.703628106042742729e-03,1.000027418136596680e+00
3.200000000000000000e+01,1.000028371810913086e+00,1.761138322763144970e-03
3.300000000000000000e+01,1.819001627154648304e-03,1.000029325485229492e+00
3.400000000000000000e+01,1.000030994415283203e+00,1.872839871793985367e-03
3.500000000000000000e+01,1.929438672959804535e-03,1.000032186508178711e+00
3.600000000000000000e+01,1.000033497810363770e+00,1.982094720005989075e-03
3.700000000000000000e+01,2.030750270932912827e-03,1.000034570693969727e+00
3.800000000000000000e+01,1.000035643577575684e+00,2.085271524265408516e-03
3.900000000000000000e+01,2.142005600035190582e-03,1.000036478042602539e+00
4.000000000000000000e+01,1.000037670135498047e+00,2.194439526647329330e-03
4.100000000000000000e+01,2.254591556265950203e-03,1.000038623809814453e+00
4.200000000000000000e+01,1.000039100646972656e+00,2.315613441169261932e-03
4.300000000000000000e+01,2.363130217418074608e-03,1.000039935111999512e+00
4.400000000000000000e+01,1.000041127204895020e+00,2.426751889288425446e-03
4.500000000000000000e+01,2.486908575519919395e-03,1.000042200088500977e+00
4.600000000000000000e+01,1.000043153762817383e+00,2.531015081331133842e-03
4.700000000000000000e+01,2.573699224740266800e-03,1.000043749809265137e+00
4.800000000000000000e+01,1.000044703483581543e+00,2.630894538015127182e-03
4.900000000000000000e+01,2.689025597646832466e-03,1.000045299530029297e+00
5.000000000000000000e+01,1.000046253204345703e+00,2.741829026490449905e-03
5.100000000000000000e+01,2.785178367048501968e-03,1.000047087669372559e+00
5.200000000000000000e+01,1.000047922134399414e+00,2.837089821696281433e-03
5.300000000000000000e+01,2.904020482674241066e-03,1.000048279762268066e+00
5.400000000000000000e+01,1.000048875808715820e+00,2.963589970022439957e-03
5.500000000000000000e+01,3.007382620126008987e-03,1.000049829483032227e+00
5.600000000000000000e+01,1.000051021575927734e+00,3.062391187995672226e-03
5.700000000000000000e+01,3.122780937701463699e-03,1.000051498413085938e+00
5.800000000000000000e+01,1.000053286552429199e+00,3.167863469570875168e-03
5.900000000000000000e+01,3.214449156075716019e-03,1.000054240226745605e+00
6.000000000000000000e+01,1.000054717063903809e+00,3.275732509791851044e-03
